Name,Publisher,Global_Sales
Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,0.08
Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,0.06
Aedis Eclipse: Generation of Chaos,Idea Factory,0.02
Aegis of Earth: Protonovus Assault,PQube,0.03
Aeon Flux,THQ,0.04
Aeon Flux,THQ,0.01
Aero Elite: Combat Academy,Sega,0.07
Afrika,Unknown,0.22
Afro Samurai,Atari,0.24
Afro Samurai,Atari,0.2
A Game of Thrones: Genesis,Focus Home Interactive,0.03
Agatha Christie: And Then There Were None,The Adventure Company,0.07
Agatha Christie: Evil Under the Sun,The Adventure Company,0.08
Agatha Christie: The ABC Murders,JoWood Productions,0.1
Agatha Christie: The ABC Murders,Microids,0.02
Agatha Christie's The ABC Murders,Microids,0.03
Agatha Christie's The ABC Murders,Microids,0.01
Age of Conan: Rise of the Godslayer,Funcom,0.03
Age of Empires: Mythologies,THQ,0.21
Age of Empires: The Age of Kings,THQ,0.22
Age of Empires II: The Age of Kings,Microsoft Game Studios,0.09
Age of Empires III,Microsoft Game Studios,0.38
Age of Empires III: The Asian Dynasties,Microsoft Game Studios,0.06
Age of Empires Online,Microsoft Game Studios,0.06
Age of Mythology,Microsoft Game Studios,0.09
Age of Mythology: The Titans,Microsoft Game Studios,0.04
Aggressive Inline,Acclaim Entertainment,0.35
Aggressive Inline,Acclaim Entertainment,0.06
Aggressive Inline,Acclaim Entertainment,0.06
Airblade,Sony Computer Entertainment,0.23
Airborne Troops: Countdown to D-Day,Playlogic Game Factory,0.12
Air Conflicts: Secret Wars,bitComposer Games,0.03
AirForce Delta Storm,Konami Digital Entertainment,0.18
AirForce Delta Strike,Konami Digital Entertainment,0.11
Airline Tycoon 2,Kalypso Media,0.05
Alan Wake,Microsoft Game Studios,1.33
Alan Wake,Nordic Games,0.06
Alias,Acclaim Entertainment,0.11
Alias,Acclaim Entertainment,0.05
Alice: Madness Returns,Electronic Arts,0.58
Alice: Madness Returns,Electronic Arts,0.5
Alice: Madness Returns,Electronic Arts,0.12
Alice in Wonderland,Disney Interactive Studios,0.51
Alien: Isolation,Sega,1.13
Alien: Isolation,Sega,0.51
Alien: Isolation,Sega,0.14
Alien Hominid,Zoo Digital Publishing,0.1
Alien Hominid,O3 Entertainment,0.09
Alien Resurrection,Fox Interactive,0.16
Aliens: Colonial Marines,Sega,0.77
Aliens: Colonial Marines,Sega,0.6
Aliens: Colonial Marines,Sega,0.18
Aliens: Infestation,Sega,0.16
Aliens in the Attic,Playlogic Game Factory,0.05
Aliens versus Predator: Extinction,Electronic Arts,0.19
Aliens versus Predator: Extinction,Electronic Arts,0.08
Aliens vs Predator,Sega,1.06
Aliens vs Predator,Sega,1.04
Aliens vs Predator,Sega,0.19
Aliens vs Predator: Requiem,Vivendi Games,0.22
Alien Syndrome,Sega,0.08
Alien Syndrome,Sega,0.06
All-Pro Football 2K8,Take-Two Interactive,0.26
All-Pro Football 2K8,Take-Two Interactive,0.15
All-Star Baseball 2002,Acclaim Entertainment,0.56
All-Star Baseball 2002,Acclaim Entertainment,0.22
All-Star Baseball 2003,Acclaim Entertainment,0.77
All-Star Baseball 2003,Acclaim Entertainment,0.26
All-Star Baseball 2003,Acclaim Entertainment,0.15
All-Star Baseball 2004,Acclaim Entertainment,0.42
All-Star Baseball 2004,Acclaim Entertainment,0.13
All-Star Baseball 2004,Acclaim Entertainment,0.08
Alone in the Dark,Atari,0.48
Alone in the Dark,Atari,0.18
Alone in the Dark,Atari,0.06
Alone in the Dark,Atari,0.01
Alone in the Dark: Inferno,Atari,0.13
Alpha Protocol,Sega,0.43
Alpha Protocol,Sega,0.39
Alpha Protocol,Sega,0.03
Alter Echo,THQ,0.13
Altered Beast: Guardian of the Realms,THQ,0.09
Alter Ego,Activision,0.03
Alundra,Psygnosis,0.23
Alvin and the Chipmunks,Brash Entertainment,0.07
Alvin and the Chipmunks,Eidos Interactive,0.05
Amazing Island,Sega,0.06
America's Army: Rise of a Soldier,Ubisoft,0.25
America's Army: True Soldiers,Ubisoft,0.08
America's Test Kitchen: Let's Get Cooking,Nintendo,0.26
American Chopper,Zoo Digital Publishing,0.42
American Chopper,Zoo Digital Publishing,0.15
American Idol,Codemasters,0.55
AMF Bowling 2004,Mud Duck Productions,0.3
