Name,Publisher,Global_Sales
Napoleon: Total War,Sega,0.66
Napoleon Dynamite: The Game,Crave Entertainment,0.04
Napoleon Dynamite: The Game,Crave Entertainment,0.03
NARC,Midway Games,0.36
NARC,Midway Games,0.18
Naruto: Clash of Ninja,Tomy Corporation,0.68
Naruto: Clash of Ninja 2,Nintendo,1.04
Naruto: Clash of Ninja Revolution,Tomy Corporation,1.01
Naruto: Clash of Ninja Revolution 2,Tomy Corporation,0.38
Naruto: Ninja Council,Tomy Corporation,0.22
Naruto: Ninja Council 3,D3Publisher,0.42
Naruto: Ninja Destiny,Namco Bandai Games,0.19
Naruto: Path of the Ninja,D3Publisher,0.4
Naruto: Path of the Ninja 2,Takara Tomy,0.23
Naruto: Powerful Shippuden,Namco Bandai Games,0.15
Naruto: Rise of a Ninja,Ubisoft,0.33
Naruto: The Broken Bond,Ubisoft,0.59
Naruto: Ultimate Ninja,Atari,0.61
Naruto: Ultimate Ninja 2,Namco Bandai Games,0.57
Naruto: Ultimate Ninja 3,Atari,0.44
Naruto: Ultimate Ninja Heroes,Namco Bandai Games,0.26
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,Atari,0.16
Naruto: Ultimate Ninja Storm,Namco Bandai Games,1.07
Naruto: Uzumaki Chronicles 2,Namco Bandai Games,0.58
Naruto Shippuden: Clash of Ninja Revolution 3,Nintendo,0.51
Naruto Shippuden: Dragon Blade Chronicles,505 Games,0.18
Naruto Shippuden: Kizuna Drive,Namco Bandai Games,0.13
Naruto Shippuden: Legends: Akatsuki Rising,Namco Bandai Games,0.15
Naruto Shippuden: Ninja Destiny 2,Takara Tomy,0.37
Naruto Shippuden: Ultimate Ninja Heroes 3,Namco Bandai Games,0.38
Naruto Shippuden: Ultimate Ninja Impact,Namco Bandai Games,0.34
Naruto Shippuden: Ultimate Ninja Storm 2,Namco Bandai Games,1.21
Naruto Shippuden: Ultimate Ninja Storm 2,Namco Bandai Games,0.78
Naruto Shippuden: Ultimate Ninja Storm 3,Namco Bandai Games,0.93
Naruto Shippuden: Ultimate Ninja Storm 3,Namco Bandai Games,0.51
Naruto Shippuden: Ultimate Ninja Storm 4,Namco Bandai Games,1.14
Naruto Shippuden: Ultimate Ninja Storm 4,Namco Bandai Games,0.3
Naruto Shippuden: Ultimate Ninja Storm Generations,Namco Bandai Games,0.73
Naruto Shippuden: Ultimate Ninja Storm Generations,Namco Bandai Games,0.44
Naruto Shippuden: Ultimate Ninja Storm Revolution,Namco Bandai Games,0.43
Naruto Shippuden: Ultimate Ninja Storm Revolution,Namco Bandai Games,0.22
NASCAR,Electronic Arts,0.1
NASCAR: Dirt to Daytona,Infogrames,0.09
NASCAR '14,Deep Silver,0.17
NASCAR '14,Deep Silver,0.11
NASCAR 06: Total Team Control,Electronic Arts,0.63
NASCAR 06: Total Team Control,Electronic Arts,0.27
NASCAR 07,Electronic Arts,0.11
NASCAR 07,Electronic Arts,0.04
NASCAR 08,Electronic Arts,0.29
NASCAR 08,Electronic Arts,0.24
NASCAR 08,Electronic Arts,0.23
NASCAR 09,Electronic Arts,0.25
NASCAR 09,Electronic Arts,0.25
NASCAR 2001,Electronic Arts,0.81
NASCAR 2001,Electronic Arts,0.7
NASCAR 2005: Chase for the Cup,Electronic Arts,1.41
NASCAR 2011: The Game,Activision,0.3
NASCAR 2011: The Game,Activision,0.27
NASCAR 2011: The Game,Activision,0.22
NASCAR Heat Evolution,Dusenberry Martin Racing,0.05
NASCAR Kart Racing,Electronic Arts,0.42
NASCAR The Game: Inside Line,Activision,0.1
NASCAR The Game: Inside Line,Activision,0.08
NASCAR Thunder 2002,Electronic Arts,1.16
NASCAR Thunder 2002,Electronic Arts,0.42
NASCAR Thunder 2003,Electronic Arts,0.31
NASCAR Thunder 2004,Electronic Arts,1.08
NASCAR Thunder 2004,Electronic Arts,0.23
Natural Doctrine,Nippon Ichi Software,0.1
Natural Doctrine,Nippon Ichi Software,0.07
Naughty Bear,505 Games,0.43
Naughty Bear,505 Games,0.4
Naval Assault: The Killing Tide,505 Games,0.17
Naval Ops: Warship Gunner,Tecmo Koei,0.11
NBA,Sony Computer Entertainment,0.21
NBA 06,Sony Computer Entertainment,0.53
NBA 06,Sony Computer Entertainment,0.22
NBA 07,Sony Computer Entertainment,0.27
NBA 07,Sony Computer Entertainment,0.2
NBA 07,Sony Computer Entertainment,0.02
NBA 08,Sony Computer Entertainment,0.13
NBA 08,Sony Computer Entertainment,0.03
NBA 09: The Inside,Sony Computer Entertainment,0.17
NBA 09: The Inside,Sony Computer Entertainment,0.15
NBA 10: The Inside,Sony Computer Entertainment,0.08
NBA 2K10,Take-Two Interactive,0.97
NBA 2K10,Take-Two Interactive,0.84
NBA 2K11,Take-Two Interactive,2.09
NBA 2K11,Take-Two Interactive,1.8
NBA 2K11,Take-Two Interactive,0.19
NBA 2K12,Take-Two Interactive,2.62
NBA 2K12,Take-Two Interactive,2.11
NBA 2K12,Take-Two Interactive,0.16
NBA 2K13,Take-Two Interactive,3
NBA 2K13,Take-Two Interactive,2.47
NBA 2K13,Take-Two Interactive,0.13
NBA 2K13,Take-Two Interactive,0.03
NBA 2K14,Take-Two Interactive,2.52
NBA 2K14,Take-Two Interactive,2.11
NBA 2K14,Take-Two Interactive,1.45
NBA 2K14,Take-Two Interactive,0.91
NBA 2K15,Take-Two Interactive,2.45
NBA 2K15,Take-Two Interactive,1.72
NBA 2K16,Take-Two Interactive,3.88
NBA 2K16,Take-Two Interactive,2.34
NBA 2K17,Take-Two Interactive,1.88
NBA 2K17,Take-Two Interactive,1.02
NBA 2K17,Take-Two Interactive,0.01
NBA 2K2,Sega,1.22
NBA 2K2,Sega,0.2
NBA 2K2,Sega,0.12
NBA 2K3,Sega,1.05
NBA 2K3,Sega,0.32
NBA 2K6,Take-Two Interactive,0.88
NBA 2K6,Take-Two Interactive,0.36
NBA 2K6,Take-Two Interactive,0.23
NBA 2K7,Take-Two Interactive,0.78
NBA 2K7,Take-Two Interactive,0.58
NBA 2K7,Take-Two Interactive,0.37
NBA 2K7,Take-Two Interactive,0.03
NBA 2K8,Take-Two Interactive,0.85
NBA 2K8,Take-Two Interactive,0.6
NBA 2K8,Take-Two Interactive,0.55
NBA 2K9,Take-Two Interactive,1.27
NBA 2K9,Take-Two Interactive,0.61
NBA Ballers,Midway Games,1.66
NBA Ballers,Midway Games,0.51
NBA Ballers: Chosen One,Midway Games,0.19
NBA Ballers: Chosen One,Midway Games,0.14
NBA Ballers: Phenom,Midway Games,0.47
NBA Ballers: Rebound,Midway Games,0.1
NBA Courtside 2002,Nintendo,0.25
NBA Inside Drive 2003,Microsoft Game Studios,0.31
NBA Inside Drive 2004,Microsoft Game Studios,0.17
NBA Jam,Acclaim Entertainment,0.14
NBA Jam,Electronic Arts,0.4
NBA Jam,Electronic Arts,0.39
NBA Jam,Electronic Arts,0.39
NBA Live 06,Electronic Arts,0.64
NBA Live 06,Electronic Arts,0.42
NBA Live 06,Electronic Arts,0.29
NBA Live 07,Electronic Arts,1.3
NBA Live 07,Electronic Arts,0.51
NBA Live 07,Electronic Arts,0.46
NBA Live 07,Electronic Arts,0.06
NBA Live 08,Electronic Arts,0.72
NBA Live 08,Electronic Arts,0.63
NBA Live 08,Electronic Arts,0.52
NBA Live 08,Electronic Arts,0.31
NBA Live 08,Electronic Arts,0.16
NBA Live 09,Electronic Arts,0.71
NBA Live 09,Electronic Arts,0.52
NBA Live 09 All-Play,Electronic Arts,0.22
NBA Live 10,Electronic Arts,0.54
NBA Live 10,Electronic Arts,0.45
NBA Live 10,Electronic Arts,0.24
NBA Live 14,Electronic Arts,0.24
NBA Live 14,Electronic Arts,0.2
NBA Live 15,Electronic Arts,0.23
NBA Live 15,Electronic Arts,0.21
NBA Live 16,Electronic Arts,0.18
NBA Live 16,Electronic Arts,0.11
NBA Live 2001,Electronic Arts,1.25
NBA Live 2002,Electronic Arts,1.86
NBA Live 2002,Electronic Arts,0.52
NBA Live 2002,Electronic Arts,0.4
NBA Live 2003,Electronic Arts,1.66
NBA Live 2004,Electronic Arts,2.03
NBA Live 2004,Electronic Arts,0.51
NBA Live 2004,Electronic Arts,0.27
NBA Live 2005,Electronic Arts,2.59
NBA Live 2005,Electronic Arts,0.9
NBA Live 2005,Electronic Arts,0.45
NBA ShootOut 2003,Sony Computer Entertainment,0.23
NBA ShootOut 2004,Sony Computer Entertainment,0.26
NBA Starting Five,Konami Digital Entertainment,0.02
NBA Street,Electronic Arts,2.79
NBA Street,Electronic Arts,0.42
NBA Street: Showdown,Electronic Arts,0.22
NBA Street Homecourt,Electronic Arts,0.5
NBA Street Homecourt,Electronic Arts,0.15
NBA Street V3,Electronic Arts,1.06
NBA Street V3,Electronic Arts,0.32
NBA Street V3,Electronic Arts,0.29
NBA Street Vol. 2,Electronic Arts,1.95
NBA Street Vol. 2,Electronic Arts,0.68
NCAA Basketball 09,Electronic Arts,0.22
NCAA Basketball 10,Electronic Arts,0.33
NCAA College Basketball 2K3,Sega,0.24
NCAA College Basketball 2K3,Sega,0.14
NCAA Final Four 2002,Sony Computer Entertainment,0.31
NCAA Final Four 2003,Sony Computer Entertainment,0.19
NCAA Football 06,Electronic Arts,1.84
NCAA Football 06,Electronic Arts,0.97
NCAA Football 07,Electronic Arts,1.7
NCAA Football 07,Electronic Arts,0.73
NCAA Football 07,Electronic Arts,0.56
NCAA Football 07,Electronic Arts,0.37
NCAA Football 08,Electronic Arts,0.79
NCAA Football 08,Electronic Arts,0.7
NCAA Football 08,Electronic Arts,0.38
NCAA Football 08,Electronic Arts,0.08
NCAA Football 09,Electronic Arts,0.71
NCAA Football 09,Electronic Arts,0.58
NCAA Football 09 All-Play,Electronic Arts,0.16
NCAA Football 10,Electronic Arts,0.94
NCAA Football 10,Electronic Arts,0.81
NCAA Football 11,Electronic Arts,0.92
NCAA Football 11,Electronic Arts,0.85
NCAA Football 12,Electronic Arts,0.99
NCAA Football 12,Electronic Arts,0.83
NCAA Football 13,Electronic Arts,1.09
NCAA Football 13,Electronic Arts,0.89
NCAA Football 14,Electronic Arts,1.09
NCAA Football 14,Electronic Arts,0.84
NCAA Football 2002,Electronic Arts,1.57
NCAA Football 2003,Electronic Arts,1.44
NCAA Football 2003,Electronic Arts,0.52
NCAA Football 2003,Electronic Arts,0.21
NCAA Football 2004,Electronic Arts,1.67
NCAA Football 2004,Electronic Arts,0.43
NCAA Football 2004,Electronic Arts,0.15
NCAA Football 2005,Electronic Arts,1.62
NCAA Football 2005,Electronic Arts,0.68
NCAA Football 2005,Electronic Arts,0.22
NCAA March Madness 06,Electronic Arts,0.53
NCAA March Madness 06,Electronic Arts,0.2
NCAA March Madness 07,Electronic Arts,0.56
NCAA March Madness 07,Electronic Arts,0.21
NCAA March Madness 08,Electronic Arts,0.09
NCAA March Madness 2003,Electronic Arts,0.66
NCAA March Madness 2004,Electronic Arts,1.03
NCAA March Madness 2005,Electronic Arts,0.53
NCAA March Madness 2005,Electronic Arts,0.28
NCIS,Ubisoft,0.14
NCIS,Ubisoft,0.12
Need For Speed: High Stakes,Electronic Arts,2.31
Need for Speed: Hot Pursuit,Electronic Arts,2.78
Need for Speed: Hot Pursuit,Electronic Arts,2.2
Need for Speed: Hot Pursuit,Electronic Arts,0.46
Need for Speed: Hot Pursuit,Electronic Arts,0.37
Need for Speed: Hot Pursuit 2,Electronic Arts,2.11
Need for Speed: Hot Pursuit 2,Electronic Arts,0.82
Need for Speed: Hot Pursuit 2,Electronic Arts,0.8
Need for Speed: Most Wanted,Electronic Arts,4.37
Need for Speed: Most Wanted,Electronic Arts,1.25
Need for Speed: Most Wanted,Electronic Arts,1.04
Need for Speed: Most Wanted,Electronic Arts,0.56
Need for Speed: Most Wanted,Electronic Arts,0.29
Need for Speed: Most Wanted,Electronic Arts,0.27
Need for Speed: Most Wanted,Electronic Arts,1.56
Need for Speed: Most Wanted,Electronic Arts,0.08
Need for Speed: Most Wanted 5-1-0,Electronic Arts,2.07
Need for Speed: Nitro,Electronic Arts,0.83
Need for Speed: Nitro,Electronic Arts,0.38
Need for Speed: Porsche Unleashed,Electronic Arts,0.77
Need for Speed: Porsche Unleashed,Zoo Digital Publishing,0.48
Need for Speed: ProStreet,Electronic Arts,2.41
Need for Speed: ProStreet,Electronic Arts,2.05
Need for Speed: ProStreet,Electronic Arts,2.04
Need for Speed: ProStreet,Electronic Arts,1.1
Need for Speed: ProStreet,Electronic Arts,0.12
Need for Speed: ProStreet,Electronic Arts,0.04
Need for Speed: ProStreet,Electronic Arts,0.77
Need for Speed: Shift,Electronic Arts,2.65
Need for Speed: Shift,Electronic Arts,1.91
Need for Speed: Shift,Electronic Arts,0.74
Need for Speed: Shift,Electronic Arts,0.06
Need for Speed: The Run,Electronic Arts,2.01
Need for Speed: The Run,Electronic Arts,1.36
Need for Speed: The Run,Electronic Arts,0.36
Need for Speed: The Run,Electronic Arts,0.27
Need for Speed: The Run,Electronic Arts,0.19
Need For Speed: Undercover,Electronic Arts,2.05
Need For Speed: Undercover,Electronic Arts,1.68
Need For Speed: Undercover,Electronic Arts,0.76
Need For Speed: Undercover,Electronic Arts,0.64
Need For Speed: Undercover,Electronic Arts,0.23
Need For Speed: Undercover,Electronic Arts,0.08
Need for Speed Carbon,Electronic Arts,1.65
Need for Speed Carbon,Electronic Arts,1.34
Need for Speed Carbon,Electronic Arts,1.28
Need for Speed Carbon,Electronic Arts,1.23
Need for Speed Carbon,Electronic Arts,0.47
Need for Speed Carbon,Electronic Arts,0.35
Need for Speed Carbon,Electronic Arts,0.05
Need for Speed Carbon: Own the City,Electronic Arts,2.42
Need for Speed Carbon: Own the City,Electronic Arts,0.2
Need for Speed Rivals,Electronic Arts,1.98
Need for Speed Rivals,Electronic Arts,1.27
Need for Speed Rivals,Electronic Arts,0.79
Need for Speed Rivals,Electronic Arts,0.69
Need for Speed Rivals,Electronic Arts,0.25
Need for Speed Underground,Electronic Arts,7.2
Need for Speed Underground,Electronic Arts,1.71
Need for Speed Underground,Electronic Arts,1.21
Need for Speed Underground,Electronic Arts,0.29
Need for Speed Underground,Electronic Arts,0.05
Need for Speed Underground 2,Electronic Arts,6.9
Need for Speed Underground 2,Electronic Arts,2.28
Need for Speed Underground 2,Electronic Arts,0.43
Need for Speed Underground 2,Electronic Arts,0.07
Need for Speed Underground 2,Electronic Arts,0.13
Need for Speed Underground Rivals,Electronic Arts,1.32
Neo Contra,Konami Digital Entertainment,0.21
NeoGeo Battle Coliseum,Ignition Entertainment,0.33
Neopets: The Darkest Faerie,Sony Computer Entertainment,0.3
Neopets Petpet Adventures: The Wand of Wishing,Sony Computer Entertainment,0.12
NERF N-Strike,Electronic Arts,1.09
NERF N-Strike Elite,Electronic Arts,1
Nervous Brickdown,Eidos Interactive,0.02
NES Remix,Nintendo,0.28
NeverDead,Konami Digital Entertainment,0.12
NeverDead,Konami Digital Entertainment,0.1
Neverland Card Battles,Idea Factory,0.05
Neverwinter Nights,Atari,0.03
Neverwinter Nights 2,Atari,0.02
Neverwinter Nights 2: Mask of the Betrayer,Atari,0.01
New Super Luigi U,Nintendo,2.24
New Super Mario Bros.,Nintendo,29.8
New Super Mario Bros. 2,Nintendo,9.9
New Super Mario Bros. U,Nintendo,5.22
New Super Mario Bros. Wii,Nintendo,28.32
NFL 2K1,Sega,1.09
NFL 2K2,Sega,0.89
NFL 2K3,Atari,1.32
NFL 2K3,Sega,0.22
NFL Blitz 20-02,Midway Games,0.28
NFL Blitz 20-03,Midway Games,0.44
NFL Blitz 20-03,Midway Games,0.14
NFL Blitz Pro,Midway Games,0.23
NFL Blitz Pro,Midway Games,0.05
NFL Fever 2002,Microsoft Game Studios,0.99
NFL Fever 2003,Microsoft Game Studios,0.61
NFL Fever 2004,Microsoft Game Studios,0.32
NFL GameDay 2002,Sony Computer Entertainment,0.4
NFL GameDay 2002,Sony Computer Entertainment,0.38
NFL GameDay 2004,Sony Computer Entertainment,0.41
NFL Head Coach,Electronic Arts,0.45
NFL Head Coach,Electronic Arts,0.12
NFL Head Coach 09,Electronic Arts,0.14
NFL Head Coach 09,Electronic Arts,0.11
NFL Quarterback Club 2002,Acclaim Entertainment,0.22
NFL Street,Electronic Arts,1.42
NFL Street,Electronic Arts,0.66
NFL Street,Electronic Arts,0.35
NFL Street 2,Electronic Arts,1.61
NFL Street 2,Electronic Arts,0.48
NFL Street 2 Unleashed,Electronic Arts,0.37
NFL Tour,Electronic Arts,0.1
NHL 06,Electronic Arts,0.58
NHL 06,Electronic Arts,0.25
NHL 06,Electronic Arts,0.08
NHL 07,Electronic Arts,0.51
NHL 07,Electronic Arts,0.27
NHL 07,Electronic Arts,0.17
NHL 07,Electronic Arts,0.03
NHL 08,Electronic Arts,0.25
NHL 08,Electronic Arts,0.25
NHL 09,Electronic Arts,0.5
NHL 09,Electronic Arts,0.33
NHL 09,Electronic Arts,0.02
NHL 10,Electronic Arts,0.66
NHL 10,Electronic Arts,0.57
NHL 11,Electronic Arts,0.73
NHL 11,Electronic Arts,0.59
NHL 12,Electronic Arts,0.7
NHL 12,Electronic Arts,0.58
NHL 13,Electronic Arts,0.66
NHL 13,Electronic Arts,0.64
NHL 14,Electronic Arts,0.54
NHL 14,Electronic Arts,0.54
NHL 15,Electronic Arts,0.6
NHL 15,Electronic Arts,0.41
NHL 16,Electronic Arts,0.63
NHL 16,Electronic Arts,0.48
NHL 17,Electronic Arts,0.33
NHL 17,Electronic Arts,0.24
NHL 2001,Electronic Arts,0.96
NHL 2001,Electronic Arts,0.63
NHL 2002,Electronic Arts,1.2
NHL 2002,Electronic Arts,0.27
NHL 2003,Electronic Arts,0.93
NHL 2003,Electronic Arts,0.21
NHL 2003,Electronic Arts,0.13
NHL 2004,Electronic Arts,0.97
NHL 2004,Electronic Arts,0.18
NHL 2004,Electronic Arts,0.1
NHL 2005,Electronic Arts,0.45
NHL 2005,Electronic Arts,0.16
NHL 2005,Electronic Arts,0.07
NHL 2K10,Take-Two Interactive,0.35
NHL 2K10,Take-Two Interactive,0.15
NHL 2K10,Take-Two Interactive,0.15
NHL 2K11,Take-Two Interactive,0.27
NHL 2K3,Sega,0.21
NHL 2K3,Sega,0.12
NHL 2K3,Sega,0.02
NHL 2K6,Take-Two Interactive,0.42
NHL 2K6,Take-Two Interactive,0.21
NHL 2K6,Take-Two Interactive,0.1
NHL 2K7,Take-Two Interactive,0.12
NHL 2K7,Take-Two Interactive,0.08
NHL 2K8,Take-Two Interactive,0.13
NHL 2K9,Take-Two Interactive,0.17
NHL 2K9,Take-Two Interactive,0.06
NHL FaceOff 2001,Sony Computer Entertainment,0.2
NHL Hitz 20-02,Midway Games,0.56
NHL Hitz 20-02,Midway Games,0.27
NHL Hitz 20-02,Midway Games,0.21
NHL Hitz 20-03,Midway Games,0.28
NHL Hitz 20-03,Midway Games,0.11
NHL Hitz 20-03,Midway Games,0.08
NHL Hitz Pro,Midway Games,0.19
NHL Hitz Pro,Midway Games,0.07
NHL Rivals 2004,Microsoft Game Studios,0.11
Nickelodeon Party Blast,Infogrames,0.22
Nicktoons: Attack of the Toybots,THQ,0.43
NieR,Square Enix,0.61
NieR,Square Enix,0.29
Night at the Museum: Battle of the Smithsonian,Majesco Entertainment,0.11
NightCaster,Microsoft Game Studios,0.13
NightCaster II: Equinox,Jaleco,0.05
NiGHTS: Journey of Dreams,Sega,0.41
Nightshade,Sega,0.12
Nights of Azure,Tecmo Koei,0.06
Ninja Assault,Namco Bandai Games,0.11
Ninja Blade,Microsoft Game Studios,0.33
Ninjabread Man,Popcorn Arcade,0.08
Ninja Gaiden,Microsoft Game Studios,1.23
Ninja Gaiden: Dragon Sword,Tecmo Koei,0.21
Ninja Gaiden 3,Tecmo Koei,0.43
Ninja Gaiden 3,Tecmo Koei,0.25
Ninja Gaiden Black,Microsoft Game Studios,0.09
Ninja Gaiden II,Tecmo Koei,1.01
Ninja Gaiden Sigma,Eidos Interactive,1.14
Ninja Gaiden Sigma 2,Ubisoft Annecy,0.85
Ninja Reflex,Electronic Arts,0.12
Ninjatown,SouthPeak Games,0.13
Ni no Kuni: Wrath of the White Witch,Namco Bandai Games,1.51
Nintendo Land,Nintendo,4.42
Nitrobike,Ubisoft,0.13
Nitroplus Blasterz: Heroines Infinite Duel,Marvelous Interactive,0.04
Nobunaga's Ambition: Iron Triangle,Tecmo Koei,0.09
Nobunaga's Ambition: Rise to Power,Tecmo Koei,0.08
Nobunaga's Ambition: Sphere of Influence,Tecmo Koei,0.04
No Man's Sky,Hello Games,1.7
No More Heroes,Rising Star Games,0.55
No More Heroes: Heroes' Paradise,Konami Digital Entertainment,0.19
No More Heroes 2: Desperate Struggle,Rising Star Games,0.39
Nostalgia,Tecmo Koei,0.19
NPPL: Championship Paintball 2009,Activision Value,0.16
NPPL: Championship Paintball 2009,Activision Value,0.12
Obscure,Microids,0.07
Obscure,MC2 Entertainment,0.04
Obscure: The Aftermath,Playlogic Game Factory,0.12
Obscure: The Aftermath,Playlogic Game Factory,0.09
Odama,Nintendo,0.11
Oddworld: Abe's Exoddus,GT Interactive,0.99
Oddworld: Abe's Oddysee,GT Interactive,1.24
Oddworld: Munch's Oddysee,Atari,0.73
Oddworld: Munch's Oddysee,THQ,0.06
Oddworld: Stranger's Wrath,Electronic Arts,0.26
Odin Sphere,Square Enix,0.56
Odin Sphere: Leifthrasir,Nippon Ichi Software,0.2
Odin Sphere: Leifthrasir,Nippon Ichi Software,0.14
Off-Road Drive,1C Company,0.04
Oil Rush,Iceberg Interactive,0.02
Okage: Shadow King,Sony Computer Entertainment,0.36
Okami,Capcom,0.63
Okami,Capcom,0.6
OkamiDen,Capcom,0.43
Omega Quintet,Compile Heart,0.02
Omerta: City of Gangsters,Konami Digital Entertainment,0.7
Onechanbara: Bikini Samurai Squad,D3Publisher,0.13
Onechanbara: Bikini Zombie Slayers,D3Publisher,0.12
Onechanbara Z2: Chaos,Nippon Ichi Software,0.24
One Piece: Burning Blood,Namco Bandai Games,0.35
One Piece: Burning Blood,Namco Bandai Games,0.1
One Piece: Burning Blood,Namco Bandai Games,0.06
One Piece: Pirate Warriors,Namco Bandai Games,1.18
One Piece: Pirate Warriors 2,Namco Bandai Games,0.66
One Piece: Pirate Warriors 3,Namco Bandai Games,0.46
One Piece: Pirate Warriors 3,Namco Bandai Games,0.17
One Piece: Unlimited Adventure,Namco Bandai Games,0.19
One Piece: Unlimited World Red,Namco Bandai Games,0.39
One Piece: Unlimited World Red,Namco Bandai Games,0.28
One Piece: Unlimited World Red,Namco Bandai Games,0.13
One Piece: Unlimited World Red,Namco Bandai Games,0.06
One Piece Unlimited Cruise SP,Namco Bandai Games,0.3
Oni,Take-Two Interactive,0.53
Onimusha: Blade Warriors,Capcom,0.12
Onimusha: Dawn of Dreams,Capcom,0.64
Onimusha: Warlords,Virgin Interactive,2.7
Onimusha 2: Samurai's Destiny,Capcom,2.25
Onimusha 3: Demon Siege,Capcom,1.45
Onimusha Tactics,Capcom,0.08
Online Chess Kingdoms,Konami Digital Entertainment,0.02
Open Season,Ubisoft,0.11
Open Season,Ubisoft,0.07
Operation: Vietnam,Majesco Entertainment,0.07
Operation Abyss: New Tokyo Legacy,Nippon Ichi Software,0.1
Operation Darkness,Success,0.07
Operation Flashpoint: Dragon Rising,Codemasters,0.93
Operation Flashpoint: Dragon Rising,Codemasters,0.91
Operation Flashpoint: Dragon Rising,Codemasters,0.05
Operation Flashpoint: Elite,Codemasters,0.04
Operation Flashpoint: Red River,Codemasters,0.32
Operation Flashpoint: Red River,Codemasters,0.28
Operation Flashpoint: Red River,Codemasters,0.07
Opoona,Tecmo Koei,0.1
Order of War,Square Enix,0.02
Oreshika: Tainted Bloodlines,Sony Computer Entertainment,0.15
Orphen: Scion of Sorcery,Activision,0.31
Otogi: Myth of Demons,Sega,0.13
Otogi 2: Immortal Warriors,Sega,0.05
Outlaw Golf,TDK Mediactive,0.29
Outlaw Tennis,Global Star,0.04
Outlaw Volleyball,TDK Mediactive,0.26
OutRun 2006: Coast 2 Coast,Sega,0.05
OutRun 2006: Coast 2 Coast,Sega,0.04
Over G Fighters,Ubisoft,0.21
Overlord,Codemasters,0.4
Overlord,Codemasters,0.02
Overlord: Dark Legend,Codemasters,0.37
Overlord: Minions,Codemasters,0.07
Overlord: Raising Hell,Codemasters,0.12
Overlord II,Codemasters,0.32
Overlord II,Codemasters,0.32
Overlord II,Codemasters,0.03
Over the Hedge,Activision,0.54
Over the Hedge,Activision,0.35
Over the Hedge,Activision,0.27
Overwatch,Activision,2.14
Overwatch,Activision,1.06
Overwatch,Activision,0.53
P.T.O. IV: Pacific Theater of Operations,Tecmo Koei,0.08
PAC-MAN and the Ghostly Adventures,Namco Bandai Games,0.08
PAC-MAN and the Ghostly Adventures,Namco Bandai Games,0.08
PAC-MAN and the Ghostly Adventures,Namco Bandai Games,0.05
Pac-Man and the Ghostly Adventures 2,Namco Bandai Games,0.11
Pac-Man and the Ghostly Adventures 2,Namco Bandai Games,0.09
Pac-Man Collection,Atari,2.94
Pac-Man Fever,Sony Computer Entertainment,0.51
Pac-Man Party,Namco Bandai Games,0.61
Pac-Man Party 3D,Namco Bandai Games,0.15
Pac-Man World 2,Namco Bandai Games,1.51
Pac-Man World 2,Nintendo,0.37
Pac-Man World 3,Namco Bandai Games,0.21
Pac-Man World 3,Namco Bandai Games,0.09
Pac-Man World 3,Namco Bandai Games,0.07
Pac-Man World Rally,Namco Bandai Games,0.08
Pac-Man World Rally,Namco Bandai Games,0.02
Pac-Pix,Namco Bandai Games,0.27
Painkiller,DreamCatcher Interactive,0.02
Painkiller: Hell Wars,DreamCatcher Interactive,0.04
Pandora's Tower,Nintendo,0.31
PANGYA: Fantasy Golf,Takara Tomy,0.14
Panzer Dragoon Orta,Sega,0.26
Paper Mario: Color Splash,Nintendo,0.42
Paper Mario: Sticker Star,Nintendo,2.3
Paper Mario: The Thousand-Year Door,Nintendo,2.25
PaRappa The Rapper,Sony Computer Entertainment,1.92
PaRappa The Rapper,Sony Computer Entertainment,0.14
PaRappa The Rapper 2,Sony Computer Entertainment,0.14
Parasite Eve,SquareSoft,2.1
Parasite Eve II,SquareSoft,0.58
ParaWorld,Deep Silver,0.02
Pariah,Hip Interactive,0.1
Paris-Dakar Rally,Acclaim Entertainment,0.15
Patapon,Sony Computer Entertainment,0.81
Patapon 2,Sony Computer Entertainment,0.1
Patapon 3,Sony Computer Entertainment,0.27
Patrician IV,Kalypso Media,0.04
Payday 2,505 Games,0.57
Payday 2,505 Games,0.43
Payday 2,505 Games,0.05
PDC World Championship Darts 2008,Oxygen Interactive,0.24
Peggle: Dual Shot,PopCap Games,0.12
Peggle Nights,PopCap Games,0.02
Percy Jackson and the Olympians: The Lightning Thief,Activision,0.24
Perfect Dark Zero,Microsoft Game Studios,0.77
Persona 2: Eternal Punishment,Atlus,0.35
Persona 4: Arena,Atlus,0.73
Persona 4: Arena,Atlus,0.13
Persona 4: Arena Ultimax,Atlus,0.14
Persona 4: Arena Ultimax,Atlus,0.08
Persona 4: Dancing All Night,Nippon Ichi Software,0.32
Persona 4: Golden,Atlus,1.12
Personal Trainer: Cooking,Nintendo,3.11
Persona Q: Shadow of the Labyrinth,Nippon Ichi Software,0.72
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,2.04
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,0.53
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,0.26
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,0.24
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,0.19
Peter Jackson's King Kong: The Official Game of the Movie,Ubisoft,0.13
Phantasy Star Collection,Atari,0.11
Phantasy Star Online,Sega,0.2
