Name,Global_Sales,Critic_Score
Animal Crossing: City Folk,4.62,73
Animal Crossing: Happy Home Designer,3.05,66
Animal Crossing: New Leaf,9.16,88
Animal Crossing: Wild World,12.13,86
AniMates!,0.03,33
Anno 1701: Dawn of Discovery,0.13,78
Anno 2070,1.43,83
Anno 2205,0.25,72
Antz Extreme Racing,0.04,31
Antz Extreme Racing,0.02,35
Anubis II,0.07,19
Apache: Air Assault,0.2,66
Apache: Air Assault,0.16,70
Apache: Air Assault,0.03,64
APB Reloaded,0.04,56
Ape Escape,1.63,90
Ape Escape: On the Loose,0.7,66
Ape Escape 2,0.63,82
Ape Escape 3,0.13,77
Ape Escape Academy,0.33,51
Apex,0.14,74
Apollo Justice: Ace Attorney,0.99,78
Aquaman: Battle for Atlantis,0.01,27
Aquapazza: Aquaplus Dream Match,0.11,75
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,0.07,37
Arcana Heart,0.16,77
Arcana Heart 3,0.2,73
Arcania: Gothic 4,0.19,63
Arcania: Gothic 4,0.09,64
Archer Maclean's Mercury,0.56,75
Arc Rise Fantasia,0.19,64
Arc the Lad: End of Darkness,0.06,59
Arc the Lad: Twilight of the Spirits,0.36,72
Arctic Thunder,0.36,45
Area 51,0.45,75
Area 51,0.29,72
Arena Football,0.56,66
Arena Football,0.15,65
Arkanoid DS,0.06,61
ArmA II,0.14,77
ArmA III,0.11,74
Armed and Dangerous,0.13,79
Armored Core: For Answer,0.19,62
Armored Core: For Answer,0.15,64
Armored Core: Last Raven,0.18,59
Armored Core: Nexus,0.26,73
Armored Core: Nine Breaker,0.07,57
Armored Core: Verdict Day,0.12,66
Armored Core 2,0.79,78
Armored Core 2: Another Age,0.41,75
Armored Core 3,0.67,74
Armored Core 3 Portable,0.08,43
Armored Core 4,0.2,65
Armored Core 4,0.25,65
Armored Core V,0.39,65
Armored Core V,0.21,68
Army Corps of Hell,0.09,57
Army Men: Air Attack 2,0.3,74
Army Men: Green Rogue,0.13,39
Army Men: Major Malfunction,0.02,36
Army Men: Sarge's Heroes 2,0.24,48
Army Men: Sarge's Heroes 2,0.17,54
Army Men: Sarge's War,0.15,56
Army of Two,1.64,72
Army of Two,1.17,74
Army of Two: The 40th Day,0.95,73
Army of Two: The 40th Day,0.85,74
Army of Two: The 40th Day,0.32,49
Army of Two: The Devil's Cartel,0.28,58
Army of Two: The Devil's Cartel,0.26,54
Ar Nosurge: Ode to an Unborn Star,0.16,67
Arslan: The Warriors of Legend,0.09,69
Art Academy,2.52,75
Art Academy: Home Studio,0.01,82
Art Academy: Lessons for Everyone,0.46,81
Art of Fighting Anthology,0.04,60
Ar tonelico: Melody of Elemia,0.1,71
Ar tonelico Qoga: Knell of Ar Ciel,0.24,61
Arx Fatalis,0.05,71
Asphalt: Injection,0.22,49
Asphalt: Urban GT,0.59,60
Asphalt 3D,0.49,43
Assassin's Creed,5.54,81
Assassin's Creed,4.82,81
