Name,Global_Sales,Critic_Score
Dynasty Warriors: Strikeforce,0.29,64
Dynasty Warriors: Strikeforce,0.23,59
Dynasty Warriors 2,0.83,75
Dynasty Warriors 3,1.87,78
Dynasty Warriors 3,0.08,70
Dynasty Warriors 3: Xtreme Legends,1,72
Dynasty Warriors 4,2.11,78
Dynasty Warriors 4,0.16,75
Dynasty Warriors 4: Xtreme Legends,0.86,72
Dynasty Warriors 4 Empires,0.32,71
Dynasty Warriors 5,1.39,69
Dynasty Warriors 5,0.05,66
Dynasty Warriors 5: Xtreme Legends,0.57,57
Dynasty Warriors 5 Empires,0.34,62
Dynasty Warriors 5 Empires,0.13,61
Dynasty Warriors 6,0.71,59
Dynasty Warriors 6,0.3,60
Dynasty Warriors 6,0.25,43
Dynasty Warriors 6 Empires,0.34,62
Dynasty Warriors 6 Empires,0.24,59
Dynasty Warriors 7,0.91,57
Dynasty Warriors 7,0.24,58
Dynasty Warriors 7: Empires,0.14,63
Dynasty Warriors 7: Xtreme Legends,0.26,64
Dynasty Warriors 8,0.6,68
Dynasty Warriors 8,0.15,65
Dynasty Warriors 8: Empires,0.19,63
Dynasty Warriors 8: Empires,0.07,58
Dynasty Warriors 8: Empires,0.02,70
Dynasty Warriors 8: Xtreme Legends,0.16,68
Dynasty Warriors Gundam,0.47,60
Dynasty Warriors Gundam,0.19,55
Dynasty Warriors Next,0.24,67
Dynasty Warriors Vol. 2,0.05,57
E.T. The Extra-Terrestrial,0.01,46
E·O·E: Eve of Extinction,0.1,57
Eagle Flight,0.07,72
EA Playground,1.29,66
EA Playground,0.33,60
Earth Defense Force: Insect Armageddon,0.2,63
Earth Defense Force: Insect Armageddon,0.19,68
Earth Defense Force 2: Invaders from Planet Space,0.07,72
Earth Defense Force 2017,0.08,69
Earth Defense Force 2017 Portable,0.06,68
Earth Defense Force 2025,0.35,69
Earth Defense Force 2025,0.15,68
Earth Defense Force 4.1: The Shadow of New Despair,0.06,64
Earthworm Jim,0.29,72
Earthworm Jim 2,0.03,45
EA Sports Active,3.9,81
EA Sports Active 2,1.26,79
EA Sports Active 2,0.91,78
EA Sports Active 2,0.39,68
EA Sports MMA,0.37,77
EA Sports MMA,0.35,79
EA Sports UFC,1.05,70
EA Sports UFC,0.47,70
EA Sports UFC 2,0.93,79
EA Sports UFC 2,0.41,76
East India Company,0.02,67
Eat Lead: The Return of Matt Hazard,0.13,51
Eat Lead: The Return of Matt Hazard,0.12,53
Ecco the Dolphin: Defender of the Future,0.14,71
echochrome,0.09,79
Echo Night Beyond,0.04,60
ECW Anarchy Rulz,0.11,43
"Ed,0.06,0.41
"Ed,0.01,0.25
"Ed,0,0.02
Egg Mania: Eggstreme Madness,0.01,64
Elebits,0.32,75
Elebits: The Adventures of Kai and Zero,0.08,75
Electroplankton,0.03,71
Elite Beat Agents,0.36,87
El Shaddai: Ascension of the Metatron,0.28,78
El Shaddai: Ascension of the Metatron,0.16,75
Elven Legacy,0.02,71
Emergency 2012,0.07,61
Emergency Heroes,0.47,41
Emergency Mayhem,0.02,40
Empire: Total War,1.08,90
Empire Earth,0.05,81
Empire Earth II,0.03,79
Empire Earth III,0.04,50
Enchanted Arms,0.19,69
Enchanted Arms,0.2,64
Enclave,0.14,66
Endgame,0.08,57
Endless Ocean,1.06,72
Endless Ocean: Blue World,0.86,76
Enemy Front,0.05,43
Enemy Front,0.04,35
Enemy Territory: Quake Wars,0.02,84
Enemy Territory: Quake Wars,0.45,69
Enemy Territory: Quake Wars,0.35,60
Enslaved: Odyssey to the West,0.55,80
Enslaved: Odyssey to the West,0.54,82
Enter the Matrix,3.18,62
Enter the Matrix,1.2,65
Enter the Matrix,0.45,63
Enthusia Professional Racing,0.15,70
Ephemeral Fantasia,0.08,48
Epic Mickey,3,73
Epic Mickey 2: The Power of Two,0.51,59
Epic Mickey 2: The Power of Two,0.47,59
Epic Mickey 2: The Power of Two,0.23,57
Eragon,0.16,63
Eragon,0.14,48
Escape Dead Island,0.07,40
Escape Dead Island,0.07,32
Escape from Bug Island,0.06,37
Escape From Monkey Island,0.1,84
ESPN: Sports Connection,0.36,31
ESPN College Hoops,0.16,83
ESPN College Hoops 2K5,0.84,86
ESPN College Hoops 2K5,0.38,86
ESPN NBA 2K5,1.59,83
ESPN NBA 2K5,0.95,85
ESPN NBA Basketball,0.54,89
ESPN NBA Basketball,0.27,87
ESPN NFL 2K5,2.62,90
ESPN NFL 2K5,1.63,92
ESPN NFL Football,0.56,91
ESPN NFL Football,0.36,91
ESPN NHL 2K5,0.88,86
ESPN NHL 2K5,0.42,88
ESPN NHL Hockey,0.23,90
ESPN NHL Hockey,0.11,88
ESPN Winter X Games: Snowboarding 2002,0.21,64
ESPN X Games Skateboarding,0.36,58
Eternal Darkness: Sanity's Requiem,0.44,92
Eternal Poison,0.14,65
Eternal Ring,0.3,62
Eternal Sonata,0.32,79
Eternal Sonata,0.44,80
Etrian Mystery Dungeon,0.24,77
Etrian Odyssey,0.33,75
Etrian Odyssey II: Heroes of Lagaard,0.26,82
Etrian Odyssey III: The Drowned City,0.31,77
Etrian Odyssey Untold: The Millennium Girl,0.26,80
Eureka Seven Vol. 2: The New Vision,0.02,40
Euro Truck Simulator 2,0.13,79
EVE: Valkyrie,0.1,73
EVE Online,0.2,69
EverBlue 2,0.03,59
EverGrace,0.35,59
EverQuest Online Adventures,0.43,74
EverQuest Online Adventures: Frontiers,0.19,77
Everybody Dance,0.12,66
Every Extend Extra,0.12,74
Evil Dead: Hail to the King,0.27,51
Evil Dead: Regeneration,0.21,68
Evil Genius,0.02,75
Evolution Skateboarding,0.26,44
Evolution Worlds,0.08,63
Evolve,0.96,76
Evolve,0.64,74
Evolve,0.19,77
ExciteBots: Trick Racing,0.26,77
Excite Truck,0.53,72
ExerBeat,0.29,60
Exist Archive: The Other Side of the Sky,0.06,71
Exist Archive: The Other Side of the Sky,0.04,69
Exit,0.08,77
Exit DS,0.1,64
Extermination,0.55,67
EyePet,0.99,70
EyeToy: AntiGrav,0.43,71
EyeToy: Groove,0.18,73
EyeToy: Kinetic,0.17,78
EyeToy Play,4.2,80
EyeToy Play 2,0.38,78
F.E.A.R.,0.34,85
F.E.A.R.,0.54,72
F.E.A.R. 2: Project Origin,0.52,77
F.E.A.R. 2: Project Origin,0.47,79
F.E.A.R. 2: Project Origin,0.07,79
F.E.A.R. 3,0.45,74
F.E.A.R. 3,0.45,75
F.E.A.R. 3,0.15,74
F.E.A.R. Files,0.09,66
F.E.A.R. Perseus Mandate,0.01,61
F1 2001,0.15,83
F1 2001,0.06,83
F1 2002,0.12,81
F1 2002,0.03,72
F1 2009,0.87,69
F1 2009,0.52,68
F1 2010,1.34,84
F1 2010,0.88,84
F1 2010,0.05,84
F1 2011,1.2,82
F1 2011,0.72,84
F1 2011,0.19,83
F1 2011,0.16,59
F1 2011,0.13,66
F1 2012,1.03,81
F1 2012,0.49,84
F1 2012,0.15,80
F1 2013,0.54,77
F1 2013,0.3,79
F1 2014,0.41,62
F1 2014,0.23,64
F1 2014,0.1,61
F1 2015,0.66,65
F1 2015,0.25,64
F1 2015,0.05,61
F1 Career Challenge,0.1,70
F1 Race Stars,0.32,61
F1 Race Stars,0.27,64
F1 Race Stars,0.02,62
Fable,2.66,85
Fable: The Journey,0.28,61
Fable: The Lost Chapters,0.07,83
Fable II,4.27,89
Fable III,5.1,80
Fable III,0.32,75
FaceBreaker,0.19,54
FaceBreaker,0.17,53
FaceBreaker K.O. Party,0.22,61
Fairy Fencer F,0.19,65
Fairy Fencer F: Advent Dark Force,0.07,71
Fairytale Fights,0.17,51
Fairytale Fights,0.17,53
Falcon 4.0: Allied Force,0.02,90
Fallout: Brotherhood of Steel,0.07,64
Fallout: Brotherhood of Steel,0.05,66
Fallout: New Vegas,4.05,84
Fallout: New Vegas,3.11,82
Fallout: New Vegas,1.17,84
Fallout 3,4.93,93
Fallout 3,3.94,90
Fallout 3,0.98,91
Fallout 4,7.16,87
Fallout 4,4.22,88
Fallout 4,1.29,84
Family Feud: 2012 Edition,0.1,47
Family Guy,0.19,51
Family Guy: Back to the Multiverse,0.26,40
Family Guy: Back to the Multiverse,0.25,39
Family Party: 30 Great Games,0.09,42
Fantasia: Music Evolved,0.15,77
Fantastic 4,0.5,64
Fantastic 4,0.27,62
Fantastic 4,0.24,61
Fantastic Four: Rise of the Silver Surfer,0.39,36
Fantastic Four: Rise of the Silver Surfer,0.15,47
Fantastic Four: Rise of the Silver Surfer,0.11,45
Fantastic Four: Rise of the Silver Surfer,0.05,39
Fantastic Four: Rise of the Silver Surfer,0.04,35
Fantastic Pets,0.41,66
Fantasy Life,1.13,73
Fantavision,0.47,72
Far Cry,0.05,89
Far Cry: Primal,2.26,76
Far Cry: Primal,0.88,77
Far Cry: Primal,0.16,74
Far Cry 2,1.59,85
Far Cry 2,1.38,85
Far Cry 2,0.48,85
Far Cry 3,3.35,90
Far Cry 3,3,91
Far Cry 3,0.96,88
Far Cry 4,4.04,85
Far Cry 4,1.63,82
Far Cry 4,0.63,80
Far Cry Instincts,0.57,85
Far Cry Instincts Evolution,0.08,78
Far Cry Instincts Predator,0.24,78
Far Cry Vengeance,0.08,38
Farming Simulator 17,0.65,64
Farming Simulator 17,0.41,69
Farming Simulator 2013,0.96,65
Farming Simulator 2013,0.38,33
Farming Simulator 2013,0.14,40
Fast Racing Neo,0.01,81
Fatal Frame,0.14,74
Fatal Frame,0.06,77
Fatal Frame: Maiden of Black Water,0.11,67
Fatal Frame II: Crimson Butterfly,0.16,81
Fatal Frame II: Crimson Butterfly Director's Cut,0.05,84
Fatal Frame III: The Tormented,0.08,78
Fatal Fury: Battle Archives Volume 1,0.04,68
Fatal Inertia,0.13,61
Fate/Extra,0.31,58
Fat Princess: Fistful of Cake,0.12,74
Fear Effect 2: Retro Helix,0.18,84
Fear Factor: Unleashed,0.14,30
Feel the Magic XY/XX,0.29,75
Ferrari Challenge Trofeo Pirelli,0.04,71
Ferrari F355 Challenge,0.05,70
Field Commander,0.16,77
FIFA 06: Road to FIFA World Cup,0.15,62
FIFA 14,6.47,86
FIFA 14,4.22,84
FIFA 14,3.01,87
FIFA 14,1.16,88
FIFA 14,0.4,87
FIFA 15,6.08,82
FIFA 15,2.18,82
FIFA 15,0.28,82
FIFA 16,8.57,82
FIFA 16,3.25,84
FIFA 16,0.2,81
FIFA 17,7.59,85
FIFA 17,2.65,84
FIFA 17,0.12,84
FIFA 2001 Major League Soccer,0.32,85
FIFA Manager 12,0.05,72
FIFA Soccer,0.12,73
FIFA Soccer,0.58,79
FIFA Soccer 06,4.21,80
FIFA Soccer 06,0.68,80
FIFA Soccer 06,0.11,77
FIFA Soccer 08,3.14,83
FIFA Soccer 08,1.75,81
FIFA Soccer 08,1.35,79
FIFA Soccer 08,1.35,82
FIFA Soccer 08,1.02,65
FIFA Soccer 08,0.02,77
FIFA Soccer 09,2.58,87
FIFA Soccer 09,2.28,82
FIFA Soccer 09,1.94,87
FIFA Soccer 09,1.35,84
FIFA Soccer 09,0.49,84
FIFA Soccer 09,0.02,77
FIFA Soccer 09 All-Play,0.89,80
FIFA Soccer 10,3.62,91
FIFA Soccer 10,2.62,90
FIFA Soccer 10,1.15,83
FIFA Soccer 10,0.98,75
FIFA Soccer 10,0.05,72
FIFA Soccer 11,5.07,89
FIFA Soccer 11,3.52,88
FIFA Soccer 11,1.2,68
FIFA Soccer 11,1.07,73
FIFA Soccer 11,0.18,83
FIFA Soccer 13,8.16,88
FIFA Soccer 13,5.16,90
FIFA Soccer 13,0.47,69
FIFA Soccer 13,0.44,57
FIFA Soccer 13,0.4,86
FIFA Soccer 13,0.29,68
FIFA Soccer 2002,0.63,82
FIFA Soccer 2002,0.18,81
FIFA Soccer 2002,0.15,81
FIFA Soccer 2003,3.4,88
FIFA Soccer 2003,0.63,88
FIFA Soccer 2003,0.08,86
FIFA Soccer 2004,0.79,82
FIFA Soccer 2004,0.07,83
FIFA Soccer 2004,0.05,82
FIFA Soccer 2005,3.7,81
FIFA Soccer 2005,0.97,81
FIFA Soccer 2005,0.14,78
FIFA Soccer 2005,0.08,75
FIFA Street,0.31,59
FIFA Street,0.1,60
FIFA Street,1.23,76
FIFA Street,0.89,77
FIFA Street 2,0.37,59
FIFA Street 2,0.13,58
FIFA Street 2,0.11,63
FIFA Street 2,0.08,63
FIFA Street 2,0.04,43
FIFA Street 3,0.32,63
FIFA Street 3,0.32,63
FIFA World Cup Germany 2006,0.57,77
FIFA World Cup Germany 2006,0.48,72
FIFA World Cup Germany 2006,0.24,77
FIFA World Cup Germany 2006,0.13,76
FIFA World Cup Germany 2006,0.11,72
FIFA World Cup Germany 2006,0.04,71
FIFA World Cup Germany 2006,0.03,57
Fight Club,0.18,36
Fight Club,0.11,37
Fighter Maker 2,0.07,58
Fighters Uncaged,0.6,32
Fighter Within,0.19,23
Fighting Fantasy: The Warlock of Firetop Mountain,0.09,45
Fight Night 2004,1.48,85
Fight Night 2004,0.68,85
Fight Night Champion,1.11,84
Fight Night Champion,0.78,86
Fight Night Round 2,0.87,88
Fight Night Round 2,0.6,88
Fight Night Round 2,0.17,87
Fight Night Round 3,1.67,83
Fight Night Round 3,1.56,84
Fight Night Round 3,1.47,86
Fight Night Round 3,0.52,74
Fight Night Round 3,0.33,83
Fight Night Round 4,1.52,88
Fight Night Round 4,1.4,87
Final Fantasy: Crystal Chronicles,1.49,80
Final Fantasy: The 4 Heroes of Light,0.58,71
Final Fantasy Anniversary Edition,0.58,67
Final Fantasy Anthology,0.8,80
Final Fantasy Chronicles,0.52,89
Final Fantasy Crystal Chronicles: Echoes of Time,0.47,75
Final Fantasy Crystal Chronicles: Echoes of Time,0.25,64
Final Fantasy Crystal Chronicles: Ring of Fates,0.66,77
Final Fantasy Crystal Chronicles: The Crystal Bearers,0.39,66
Final Fantasy Explorers,0.54,69
Final Fantasy Fables: Chocobo's Dungeon,0.21,76
Final Fantasy Fables: Chocobo Tales,0.24,75
Final Fantasy II Anniversary Edition,0.5,63
Final Fantasy III,2.08,77
Final Fantasy IV,1.21,85
Final Fantasy IV: The Complete Collection,0.56,77
Final Fantasy IV Advance,0.61,85
Final Fantasy IX,5.3,94
Final Fantasy Tactics,2.45,83
Final Fantasy Tactics: The War of the Lions,1.16,88
Final Fantasy Tactics A2: Grimoire of the Rift,0.75,80
Final Fantasy Tactics Advance,2.13,87
Final Fantasy V Advance,0.26,83
Final Fantasy VI Advance,0.28,92
Final Fantasy VII,9.72,92
Final Fantasy VIII,7.86,90
Final Fantasy X,8.05,92
Final Fantasy X / X-2 HD Remaster,1.27,85
Final Fantasy X / X-2 HD Remaster,0.8,86
Final Fantasy X-2,5.29,85
Final Fantasy XI,0.19,66
Final Fantasy XI: Chains of Promathia,0.25,77
Final Fantasy XI: Treasures of Aht Urhgan,0.23,87
Final Fantasy XI: Wings of the Goddess,0.3,63
Final Fantasy XII,5.95,92
Final Fantasy XII: Revenant Wings,1.37,81
Final Fantasy XIII,5.33,83
Final Fantasy XIII,2.16,82
Final Fantasy XIII-2,2.63,79
Final Fantasy XIII-2,0.73,79
Final Fantasy XIV: Heavensward,0.13,86
Final Fantasy XIV: Heavensward,0.02,86
Final Fight: Streetwise,0.05,43
Final Fight: Streetwise,0.02,42
Final Fight One,0.21,82
Finding Nemo,0.89,62
Fire Emblem,0.97,88
Fire Emblem: Awakening,2.01,92
Fire Emblem: Path of Radiance,0.54,85
Fire Emblem: Radiant Dawn,0.49,78
Fire Emblem: Shadow Dragon,0.61,81
Fire Emblem: The Sacred Stones,0.89,85
Fire Pro Wrestling Returns,0.09,78
Fisherman's Challenge,0.04,67
Fishing Master,0.31,58
Fishing Resort,0.39,69
Fish Tycoon,0.26,46
Fist of the North Star: Ken's Rage,0.66,60
Fist of the North Star: Ken's Rage,0.16,59
Fist of the North Star: Ken's Rage 2,0.3,49
Fist of the North Star: Ken's Rage 2,0.06,55
Fist of the North Star: Ken's Rage 2,0.02,40
Flash Focus: Vision Training in Minutes a Day,3.83,59
FlatOut,0.38,70
FlatOut,0.17,71
FlatOut: Head On,0.29,74
FlatOut: Ultimate Carnage,0.11,80
FlatOut: Ultimate Carnage,0.01,79
FlatOut 2,0.16,73
FlatOut 2,0.04,73
FlingSmash,0.47,48
Flipnic: Ultimate Pinball,0.06,64
"Flower,0,0
Folklore,0.32,75
Food Network: Cook or Be Cooked,0.44,53
Football Manager 2010,0.07,87
Football Manager 2011,1.26,85
Football Manager 2012,1.51,84
Football Manager 2013,1.15,86
Football Manager 2014,0.64,85
Football Manager 2015,0.46,80
Football Manager 2016,0.35,81
Football Manager 2017,0.09,81
Football Manager Handheld 2010,0.35,69
Football Manager Handheld 2011,0.41,77
Football Manager Live,0.01,82
Ford Mustang: The Legend Lives,0.29,58
Ford Racing,0.86,53
Ford Racing 2,1,51
Ford Racing 3,0.26,50
Ford Racing Off Road,0.47,37
Forever Kingdom,0.09,64
Forgotten Realms: Demon Stone,0.2,71
Forgotten Realms: Demon Stone,0.09,72
Formula One 2001,0.26,73
Fortune Street,0.48,68
Forza Horizon,1.96,85
Forza Horizon 2,1.4,86
Forza Horizon 3,1.08,91
Forza Motorsport,1.05,92
Forza Motorsport 2,4.05,90
Forza Motorsport 3,5.49,92
Forza Motorsport 4,4.57,91
Forza Motorsport 5,2.2,79
Forza Motorsport 6,1.8,87
Fossil Fighters,0.89,70
Fossil Fighters: Champions,0.67,68
Fossil Fighters: Frontier,0.36,57
Fracture,0.33,63
Fracture,0.16,62
Fragile Dreams: Farewell Ruins of the Moon,0.36,67
Freedom Fighters,0.52,81
Freedom Fighters,0.23,82
Freedom Fighters,0.13,83
Freedom Wars,0.65,73
Freedom Wings,0.02,46
Freekstyle,1.06,81
Freelancer,0.05,85
Freestyle Metal X,0.09,67
Frequency,0.19,83
Frogger: Ancient Shadow,0.1,54
Frogger: Helmet Chaos,0.11,66
Frogger: The Great Quest,1.23,32
Frogger's Adventures: The Rescue,0.32,59
Frogger 2: Swampy's Revenge,1.43,77
Frogger 3D,0.21,54
Frogger Beyond,0.13,60
From Russia With Love,0.41,69
From Russia With Love,0.22,70
From Russia With Love,0.2,71
From Russia With Love,0.08,61
From The Abyss,0.06,59
Frontlines: Fuel of War,0.56,75
Frontlines: Fuel of War,0.02,73
Front Mission,0.04,72
Front Mission 4,0.54,75
Front Mission Evolved,0.29,58
Front Mission Evolved,0.2,58
Front Mission Evolved,0.05,63
Fuel,0.31,66
Fuel,0.24,67
Fuel,0.02,67
Fugitive Hunter: War on Terror,0.15,35
Full Auto,0.22,70
Full Auto 2: Battlelines,0.18,67
Fullmetal Alchemist: Dual Sympathy,0.09,58
Fullmetal Alchemist: Trading Card Game,0.01,61
Fullmetal Alchemist 2: Curse of the Crimson Elixir,0.27,67
Fullmetal Alchemist and the Broken Angel,0.56,56
Full Spectrum Warrior,0.73,84
Full Spectrum Warrior,0.3,74
Full Spectrum Warrior: Ten Hammers,0.07,71
FunkMaster Flex's Digital Hitz Factory,0.04,71
Fur Fighters: Viggo's Revenge,0.14,64
Furu Furu Park,0.05,43
Futurama,0.07,59
Futurama,0.05,58
Future Tactics: The Uprising,0.07,61
Fuzion Frenzy,1.21,70
Fuzion Frenzy 2,0.17,49
F-Zero: GP Legend,0.16,77
F-Zero: Maximum Velocity,1.04,86
F-Zero GX,0.65,89
G.I. Joe: The Rise of Cobra,0.24,42
G.I. Joe: The Rise of Cobra,0.21,43
G.I. Joe: The Rise of Cobra,0.14,50
G.I. Joe: The Rise of Cobra,0.14,47
G1 Jockey 3,0.1,71
Gabrielle's Ghostly Groove 3D,0.11,62
Gadget Racers,0.08,67
Galactic Wrestling: Featuring Ultimate Muscle,0.22,61
Galerians: Ash,0.07,50
Galleon: Islands of Mystery,0.03,67
Gallop Racer 2001,0.17,71
Gallop Racer 2003: A New Breed,0.21,68
Gallop Racer 2004,0.06,70
Gallop Racer 2006,0.1,69
Game of Thrones,0.25,52
Game of Thrones,0.24,53
Game of Thrones,0.08,58
Game Party,2.48,25
Game Party: Champions,0.13,24
Game Party 2,1.88,29
Game Party in Motion,0.58,33
Gangs of London,0.95,52
Gardening Mama,1.35,60
Gauntlet: Dark Legacy,1.15,73
Gauntlet: Dark Legacy,0.18,60
Gauntlet: Dark Legacy,0.17,54
Gauntlet: Seven Sorrows,0.4,59
Gauntlet: Seven Sorrows,0.18,61
Gears of War,6.09,94
Gears of War,0.02,87
Gears of War: Judgment,1.57,79
Gears of War: Ultimate Edition,3.28,82
Gears of War 2,6.75,93
Gears of War 3,6.21,91
Gears of War 4,1.35,84
Geist,0.15,66
Gekido Advance: Kintaro's Revenge,0.03,70
Generation of Chaos,0.06,60
Genji: Dawn of the Samurai,0.23,74
Genji: Days of the Blade,0.75,55
Genma Onimusha,0.24,83
Geometry Wars: Galaxies,0.14,79
Geometry Wars: Galaxies,0.12,80
George of the Jungle and the Search for the Secret,0.02,35
Get Fit with Mel B,0.38,73
Get On Da Mic,0.15,49
G-Force,0.44,69
G-Force,0.22,68
G-Force,0.17,68
Ghostbusters: The Video Game,0.86,76
Ghostbusters: The Video Game,0.84,78
Ghostbusters: The Video Game,0.63,79
Ghostbusters: The Video Game,0.43,64
Ghostbusters: The Video Game,0.4,55
Ghostbusters: The Video Game,0.18,54
Ghosthunter,0.09,69
Ghost in the Shell: Stand Alone Complex,0.07,61
Ghost Rider,0.24,49
Ghost Squad,0.77,69
Ghost Trick: Phantom Detective,0.38,83
Giants: Citizen Kabuto,0.06,79
Gitaroo Man,0.05,82
Gladiator: Sword of Vengeance,0.12,65
Gladiator: Sword of Vengeance,0.05,65
Gladiator Begins,0.12,59
Gladius,0.2,78
Gladius,0.14,79
Gladius,0.07,82
Glory Days 2,0.09,73
Glory of Heracles,0.29,69
Goat Simulator,0.01,53
Goblin Commander: Unleash the Horde,0.17,68
Goblin Commander: Unleash the Horde,0.02,71
Godai: Elemental Force,0.07,27
God Eater 2: Rage Burst,0.11,69
God Eater Resurrection,0.08,70
God Hand,0.07,73
God of War,4.45,94
God of War: Ascension,2.25,80
God of War: Chains of Olympus,3.18,91
God of War: Ghost of Sparta,1,86
God of War: Origins Collection,0.55,84
God of War Collection,2.6,91
God of War Collection,0.2,73
God of War II,4.07,93
God of War III,4.8,92
Gods Eater Burst,0.66,71
Godzilla: Destroy All Monsters Melee,0.71,73
Godzilla: Save the Earth,0.47,62
Godzilla: Save the Earth,0.14,63
Godzilla Unleashed,0.16,44
Godzilla Unleashed: Double Smash,0.12,28
Golden Axe: Beast Rider,0.33,45
Golden Axe: Beast Rider,0.32,44
GoldenEye: Rogue Agent,0.64,60
GoldenEye: Rogue Agent,0.49,61
GoldenEye: Rogue Agent,0.36,60
GoldenEye: Rogue Agent,0.11,58
Goldeneye 007: Reloaded,0.78,72
Goldeneye 007: Reloaded,0.5,72
Golden Sun,1.76,91
Golden Sun: Dark Dawn,0.78,79
Golden Sun: The Lost Age,1.22,86
Goodbye Deponia,0.07,80
Goosebumps HorrorLand,0.16,37
Gotcha Force,0.03,56
Gothic 3,0.06,63
Go Vacation,1.53,64
Grabbed by the Ghoulies,0.14,66
Gradius Collection,0.06,76
Gradius V,0.09,82
Graffiti Kingdom,0.03,71
Grand Ages: Medieval,0.07,64
Grand Ages: Medieval,0.05,63
Grandia,0.25,89
Grandia II,0.2,90
Grandia II,0.29,71
Grandia III,0.49,77
Grandia Xtreme,0.38,68
Grand Kingdom,0.07,78
Grand Kingdom,0.06,76
Grand Prix Challenge,0.08,76
Grand Slam Tennis 2,0.23,73
Grand Slam Tennis 2,0.18,71
Grand Theft Auto,0.24,68
Grand Theft Auto: Chinatown Wars,1.32,93
Grand Theft Auto: Chinatown Wars,1.06,90
Grand Theft Auto: Liberty City Stories,7.69,88
Grand Theft Auto: Liberty City Stories,3.54,78
Grand Theft Auto: San Andreas,20.81,95
Grand Theft Auto: San Andreas,1.95,93
Grand Theft Auto: San Andreas,0.97,93
Grand Theft Auto: Vice City,16.15,95
Grand Theft Auto: Vice City,0.04,94
Grand Theft Auto: Vice City Stories,5.03,86
Grand Theft Auto: Vice City Stories,0.97,75
Grand Theft Auto 2,3.42,70
Grand Theft Auto III,13.1,97
Grand Theft Auto III,0.01,93
Grand Theft Auto IV,11.01,98
Grand Theft Auto IV,10.5,98
Grand Theft Auto IV,0.88,90
Grand Theft Auto V,21.04,97
Grand Theft Auto V,16.27,97
Grand Theft Auto V,12.61,97
Grand Theft Auto V,5.48,97
Grand Theft Auto V,1.17,96
Gran Turismo,10.95,96
Gran Turismo 2,9.49,93
Gran Turismo 3: A-Spec,14.98,95
Gran Turismo 4,11.66,89
Gran Turismo 5,10.7,84
Gran Turismo 5 Prologue,4.19,80
Gran Turismo 6,3.23,81
Gravity Falls: Legend of the Gnome Gemulets,0.04,46
Gravity Games Bike: Street Vert Dirt,0.1,24
Gravity Rush,0.56,83
Gravity Rush Remastered,0.13,80
Gray Matter,0.08,72
Green Day: Rock Band,0.41,76
Green Day: Rock Band,0.41,75
Green Day: Rock Band,0.36,76
Green Lantern: Rise of the Manhunters,0.17,61
Green Lantern: Rise of the Manhunters,0.13,42
Green Lantern: Rise of the Manhunters,0.13,59
Greg Hastings' Tournament Paintball,0.54,74
Greg Hastings' Tournament Paintball Max'd,0.04,39
Greg Hastings' Tournament Paintball Max'd,0.01,70
Gretzky NHL,0.1,61
Gretzky NHL 06,0.14,65
Gretzky NHL 2005,0.17,66
Grey's Anatomy: The Video Game,0.02,36
GRID,1.1,87
GRID,0.87,87
GRID 2,0.37,82
GRID 2,0.27,78
GRID 2,0.06,80
GRID Autosport,0.18,75
GRID Autosport,0.09,75
GRID Autosport,0.02,78
GrimGrimoire,0.05,79
GripShift,0.09,70
Grooverider: Slot Car Thunder,0.01,45
Groovin' Blocks,0.01,75
Group S Challenge,0.02,57
Growlanser: Heritage of War,0.22,60
Growlanser Generations,0.11,81
GT Advance 2: Rally Racing,0.11,77
GT Legends,0.02,84
GT Pro Series,0.52,41
GTR Evolution,0.03,83
Guild Wars,0.03,89
Guild Wars: Factions,0.01,84
Guild Wars: Nightfall,0.03,84
Guild Wars 2,2.31,90
Guilty Gear Dust Strikers,0.05,60
Guilty Gear Isuka,0.1,73
Guilty Gear Judgment,0.16,77
Guilty Gear X,0.12,79
Guilty Gear X: Advance Edition,0.06,67
Guilty Gear X2,0.35,87
Guilty Gear X2 #Reload,0.15,86
Guilty Gear XX Accent Core,0.04,77
Guilty Gear XX Accent Core,0.04,75
Guilty Gear XX Accent Core Plus,0.03,76
Guinness World Records: The Videogame,1.03,67
Guitar Hero,2.38,91
Guitar Hero: Aerosmith,1.27,73
Guitar Hero: Aerosmith,1.23,70
Guitar Hero: Aerosmith,0.99,70
Guitar Hero: Aerosmith,0.79,71
Guitar Hero: Metallica,0.93,85
Guitar Hero: Metallica,0.8,84
Guitar Hero: Metallica,0.62,86
Guitar Hero: On Tour,3.46,71
Guitar Hero: On Tour Decades,1.57,72
Guitar Hero: Smash Hits,0.58,74
Guitar Hero: Smash Hits,0.42,71
Guitar Hero: Smash Hits,0.35,73
Guitar Hero: Smash Hits,0.22,69
Guitar Hero: Van Halen,0.29,57
Guitar Hero: Van Halen,0.28,50
Guitar Hero: Van Halen,0.27,59
Guitar Hero: Warriors of Rock,0.96,77
Guitar Hero: Warriors of Rock,0.86,72
Guitar Hero: Warriors of Rock,0.81,74
Guitar Hero: World Tour,3.62,86
Guitar Hero: World Tour,2.66,85
Guitar Hero: World Tour,1.92,84
Guitar Hero 5,1.55,89
Guitar Hero 5,1.13,85
Guitar Hero 5,1.12,71
Guitar Hero 5,1.09,86
Guitar Hero Encore: Rocks The 80s,1.11,69
Guitar Hero II,5.12,92
Guitar Hero II,2.2,92
Guitar Hero III: Legends of Rock,4.98,82
