Name,Critic_Score
Crash Bash,68
Crash Nitro Kart,69
Crash Nitro Kart,77
Crash Nitro Kart,70
Crash Nitro Kart,66
Crash of the Titans,73
Crash of the Titans,69
Crash of the Titans,70
Crash of the Titans,65
Crash Tag Team Racing,66
Crash Tag Team Racing,68
Crash Tag Team Racing,66
Crash Tag Team Racing,69
Crash Team Racing,88
Crazy Taxi,80
Crazy Taxi,69
Crazy Taxi: Catch a Ride,48
Crazy Taxi: Fare Wars,64
Crazy Taxi 2,82
Crazy Taxi 3: High Roller,69
Create,61
Create,60
Create,54
Crime Life: Gang Wars,30
Criminal Girls: Invite Only,55
Crimson Gem Saga,78
Crimson Sea,78
Crimson Sea 2,75
Crimson Skies: High Road to Revenge,88
Crimson Tears,62
Crisis Core: Final Fantasy VII,83
Cross Edge,52
CrossworDS,67
"Crouching Tiger,0.13
Cruis'n,25
Crush,83
Crush3D,71
Crysis,91
Crysis: Warhead,84
Crysis 2,84
Crysis 2,85
Crysis 2,86
Crysis 3,76
Crysis 3,77
Crysis 3,76
CSI: Crime Scene Investigation,45
CSI: Fatal Conspiracy,39
CSI: Fatal Conspiracy,42
CSI: Fatal Conspiracy,47
Cubic Ninja,51
Cubivore: Survival of the Fittest,71
Culdcept,78
Culdcept SAGA,75
Curious George,53
Cursed Mountain,67
Custom Robo,65
Custom Robo Arena,74
Cy Girls,53
Dai Senryaku VII: Modern Military Tactics,74
Damage Inc.: Pacific Squadron WWII,49
Damnation,36
Damnation,36
Dance Central,82
Dance Central: Spotlight,74
Dance Central 2,86
Dance Central 3,86
Dance Dance Revolution: Hottest Party,73
Dance Dance Revolution: Hottest Party 2,69
Dance Dance Revolution: Hottest Party 3,66
Dance Dance Revolution: Mario Mix,69
Dance Dance Revolution Disney Mix,74
Dance Dance Revolution Extreme,77
Dance Dance Revolution Extreme 2,76
Dance Dance Revolution SuperNOVA,73
Dance Dance Revolution Ultramix,82
Dance Dance Revolution Ultramix 2,78
Dance Dance Revolution Ultramix 3,75
Dance Dance Revolution Universe,74
Dance Dance Revolution Universe 2,65
Dance Dance Revolution Universe 3,65
Dance Dance Revolution X,55
Dance Factory,56
DanceMasters,63
Dance on Broadway,48
Dancing With The Stars,42
Danganronpa: Trigger Happy Havoc,80
Danganronpa 2: Goodbye Despair,81
Danganronpa Another Episode: Ultra Despair Girls,72
Dante's Inferno,75
Dante's Inferno,73
Dante's Inferno,70
Dark Angel: Vampire Apocalypse,53
Dark Cloud,80
Dark Cloud 2,87
Darkened Skye,61
Darkest of Days,44
Dark Messiah of Might and Magic Elements,52
Dark Sector,72
Dark Sector,72
Darksiders,83
Darksiders,83
Darksiders,82
Darksiders: Warmastered Edition,79
Darksiders: Warmastered Edition,80
Darksiders II,84
Darksiders II,83
Darksiders II,81
Darksiders II,85
Dark Souls,89
Dark Souls,89
Dark Souls II,91
Dark Souls II,91
Dark Souls II,91
Dark Souls III,89
Dark Souls III,87
Dark Souls III,89
Darkspore,65
Darkstalkers Chronicle: The Chaos Tower,74
Darkstalkers Resurrection,80
DarkStar One,71
DarkStar One: Broken Alliance,63
Darkstone,58
Dark Summit,68
Dark Void,59
Dark Void,59
Dark Void,57
Darkwatch,74
Darkwatch,75
Data East Arcade Classics,56
Dave Mirra BMX Challenge,32
Dave Mirra Freestyle BMX,82
Dave Mirra Freestyle BMX: Maximum Remix,67
Dave Mirra Freestyle BMX 2,81
Dave Mirra Freestyle BMX 2,78
Dave Mirra Freestyle BMX 2,76
Dawn of Discovery,82
Dawn of Discovery,81
Dawn of Discovery,82
Dawn of Mana,57
Daxter,85
DC Universe Online,67
DC Universe Online,72
DDRMAX2: Dance Dance Revolution,82
Dead Head Fred,75
Dead Island,71
Dead Island,71
Dead Island,80
Dead Island: Riptide,57
Dead Island: Riptide,62
Dead Island Definitive Collection,63
Dead Island Definitive Collection,67
Deadliest Catch: Alaskan Storm,56
Deadliest Warrior: Ancient Combat,37
Deadly Creatures,72
Deadly Premonition,68
Dead Man's Hand,62
Dead or Alive,84
Dead or Alive: Dimensions,79
Dead or Alive 3,87
Dead or Alive 4,85
Dead or Alive 5,74
Dead or Alive 5,76
Dead or Alive Paradise,38
Dead or Alive Ultimate,83
Dead or Alive Xtreme 2,53
Dead or Alive Xtreme 3: Fortune,43
Dead or Alive Xtreme Beach Volleyball,73
Deadpool,61
Deadpool,62
Deadpool,60
Dead Rising,85
Dead Rising,78
Dead Rising: Chop Till You Drop,61
Dead Rising 2,79
Dead Rising 2,80
Dead Rising 2,78
Dead Rising 2,82
Dead Rising 2: Off the Record,72
Dead Rising 2: Off the Record,72
Dead Rising 2: Off the Record,66
Dead Rising 3,78
Dead Space,88
Dead Space,89
Dead Space,86
Dead Space 2,90
Dead Space 2,89
Dead Space 2,87
Dead Space 3,78
Dead Space 3,76
Dead Space Extraction,82
Dead to Rights,73
Dead to Rights,73
Dead to Rights,77
Dead to Rights: Reckoning,54
Dead to Rights: Retribution,60
Dead to Rights: Retribution,61
Dead to Rights II,51
Dead to Rights II,54
Deal or No Deal,20
Deal or No Deal,56
Death By Degrees,51
Death Jr.,61
Death Jr.: Root of Evil,71
Death Jr. and the Science Fair of Doom,47
Death Jr. II: Root of Evil,68
DeathSmiles,76
de Blob,82
de Blob 2,74
de Blob 2,79
de Blob 2,77
de Blob 2,75
Deca Sports,50
DECA Sports Freedom,26
Deception IV: Blood Ties,67
Deception IV: Blood Ties,70
Deep Labyrinth,57
Defender,73
Defiance,60
Defiance,59
Defiance,64
Def Jam: Fight for NY,83
Def Jam Fight For NY: The Takeover,79
Def Jam Icon,68
Def Jam Icon,69
Def Jam Rapstar,75
Def Jam Rapstar,74
Def Jam Vendetta,80
Def Jam Vendetta,81
Delta Force: Black Hawk Down,58
Delta Force: Black Hawk Down,61
Dementium: The Ward,72
Dementium II,75
Demigod,76
DemiKids: Light Version,62
Demon's Souls,89
Demon Gaze,70
Dengeki Bunko Fighting Climax,66
Dengeki Bunko Fighting Climax,75
Deponia,74
Destiny,76
Destiny,75
Destiny: The Taken King,86
Destiny: The Taken King,89
Destruction Derby Arenas,57
Destruction Derby Raw,69
Deus Ex,90
Deus Ex: Human Revolution,89
Deus Ex: Human Revolution,89
Deus Ex: Human Revolution,90
Deus Ex: Invisible War,84
Deus Ex: Mankind Divided,84
Deus Ex: Mankind Divided,83
Deus Ex: Mankind Divided,83
Deus Ex: The Conspiracy,81
Devil's Third,43
Devil Kings,64
Devil May Cry,94
Devil May Cry 2,68
Devil May Cry 3: Dante's Awakening,84
Devil May Cry 4,84
Devil May Cry 4,84
Devil May Cry 4,78
Devil May Cry HD Collection,74
Devil May Cry HD Collection,77
Dewy's Adventure,67
Diablo,94
Diablo II,88
Diablo II: Lord of Destruction,87
Diablo III,88
Diablo III,86
Diablo III,87
Diddy Kong Racing DS,63
Die Hard: Vendetta,54
Digimon All-Star Rumble,49
Digimon Digital Card Battle,51
Digimon Rumble Arena,64
Digimon Rumble Arena 2,63
Digimon Rumble Arena 2,71
Digimon Rumble Arena 2,65
Digimon Story: Cyber Sleuth,75
Digimon World: Data Squad,43
Digimon World 2,42
Digimon World 4,48
Digimon World 4,55
Digimon World 4,54
Digimon World Championship,49
Digimon World DS,71
Dino Crisis 2,86
Dino Crisis 3,51
Dino Dini's Kick Off Revival,31
Dinosaur King,61
Dino Stalker,50
Dirge of Cerberus: Final Fantasy VII,57
DiRT,83
DiRT,83
DiRT,84
DiRT 2,87
DiRT 2,87
DiRT 2,51
DiRT 2,55
DiRT 2,89
DiRT 3,87
DiRT 3,87
DiRT 3,86
DiRT Rally,85
DiRT Rally,86
DiRT Rally,86
DiRT Showdown,75
DiRT Showdown,75
Disaster Report,66
Disciples III: Renaissance,56
Disgaea: Afternoon of Darkness,87
Disgaea: Hour of Darkness,84
Disgaea 2: Cursed Memories,84
Disgaea 2: Dark Hero Days,83
Disgaea 3: Absence of Justice,78
Disgaea 4: A Promise Unforgotten,80
Disgaea 5: Alliance of Vengeance,80
Disgaea D2: A Brighter Darkness,74
Disgaea DS,82
Disgaea Infinite,64
Dishonored,88
Dishonored,89
Dishonored 2,88
Dishonored 2,88
Dishonored 2,86
Disney's A Christmas Carol,66
Disney's Aladdin in Nasira's Revenge,61
Disney's Atlantis: The Lost Empire,73
Disney's Chicken Little,60
Disney's Donald Duck: Goin' Quackers,65
Disney's Donald Duck: Goin' Quackers,73
Disney's Donald Duck: Goin' Quackers,61
Disney's Extreme Skate Adventure,78
Disney's Extreme Skate Adventure,76
Disney's Extreme Skate Adventure,76
Disney's Kim Possible: Kimmunicator,61
Disney's Kim Possible: Revenge of Monkey Fist,62
Disney's Kim Possible 3: Team Possible,76
Disney's Magical Mirror Starring Mickey Mouse,50
Disney's Meet the Robinsons,62
Disney's Party,39
Disney's PK: Out of the Shadows,49
Disney's Planes,51
Disney's Stitch: Experiment 626,59
Disney's Tarzan Untamed,59
Disney's Tarzan Untamed,61
Disney's The Emperor's New Groove,66
Disney's The Lion King: Simba's Mighty Adventure,30
Disney Art Academy,72
Disney Golf,72
Disney Guilty Party,78
Disney Infinity,74
Disney Infinity,75
Disney Infinity,71
Disney Magical World,71
Disney Sing It,53
Disney Sing It,54
Disney Sports Skateboarding,36
Disney Universe,61
Disney Universe,70
Disney Universe,66
Dissidia: Final Fantasy,79
Dissidia 012: Duodecim Final Fantasy,78
Divinity: Original Sin,87
Divinity II: Ego Draconis,62
Divinity II: Ego Draconis,72
Divinity II: Flames of Vengeance,72
Divinity II: The Dragon Knight Saga,72
DJ Hero,84
DJ Hero,86
DJ Hero,87
DJ Hero,87
DJ Hero 2,86
DJ Hero 2,86
DJ Hero 2,88
DJ Max Fever,77
DK: King of Swing,70
DmC: Devil May Cry,85
DmC: Devil May Cry,86
Doctor Lautrec and the Forgotten Knights,53
DoDonPachi Resurrection,77
Dog's Life,64
Dokapon Journey,60
Dokapon Kingdom,61
Dokapon Kingdom,73
Doki-Doki Universe,66
Dokuro,76
Don Bradman Cricket 14,73
Don Bradman Cricket 14,76
Donkey Konga,76
Donkey Konga 2,69
Donkey Kong Barrel Blast,46
Donkey Kong Country,78
Donkey Kong Country: Tropical Freeze,83
Donkey Kong Country 2,80
Donkey Kong Country 3,77
Donkey Kong Country Returns,87
Donkey Kong Jungle Beat,80
Don King Boxing,71
Don King Presents: Prizefighter,56
Doom,85
Doom,81
Doom 3,87
Doom 3,88
Doom 3: Resurrection of Evil,77
Doom 3 BFG Edition,67
Doom 3 BFG Edition,67
Doom 3 BFG Edition,59
Dora The Explorer: Dora Saves the Snow Princess,47
Double Dragon Advance,75
Downhill Domination,79
Dr. Seuss' The Cat in the Hat,56
Draglade,71
Dragon's Crown,82
Dragon's Crown,78
Dragon's Dogma,78
Dragon's Dogma,75
Dragon Age: Inquisition,89
Dragon Age: Inquisition,85
Dragon Age: Inquisition,85
Dragon Age: Origins,86
Dragon Age: Origins,87
Dragon Age: Origins,91
Dragon Age II,79
Dragon Age II,82
Dragon Age II,82
Dragon Ball: Advanced Adventure,75
Dragon Ball: Evolution,28
Dragon Ball: Fusions,68
Dragon Ball: Origins,78
Dragon Ball: Raging Blast,57
Dragon Ball: Raging Blast,56
Dragon Ball: Raging Blast 2,60
Dragon Ball: Raging Blast 2,57
Dragon Ball: Revenge of King Piccolo,65
Dragon Ball: XenoVerse,69
Dragon Ball: XenoVerse,67
Dragon Ball: Xenoverse 2,73
Dragon Ball: Xenoverse 2,73
Dragon Ball GT: Transformation,69
Dragon Ball Z: Attack of the Saiyans,73
Dragon Ball Z: Battle of Z,54
Dragon Ball Z: Battle of Z,66
Dragon Ball Z: Battle of Z,53
Dragon Ball Z: Budokai,67
Dragon Ball Z: Budokai,65
Dragon Ball Z: Budokai 2,66
Dragon Ball Z: Budokai 2,66
Dragon Ball Z: Budokai 3,77
Dragon Ball Z: Budokai Tenkaichi,72
Dragon Ball Z: Budokai Tenkaichi 2,73
Dragon Ball Z: Budokai Tenkaichi 2,72
Dragon Ball Z: Budokai Tenkaichi 3,73
Dragon Ball Z: Budokai Tenkaichi 3,72
Dragon Ball Z: Burst Limit,71
Dragon Ball Z: Burst Limit,72
Dragon Ball Z: Buu's Fury,62
Dragon Ball Z: Collectible Card Game,62
Dragon Ball Z: Extreme Butoden,61
Dragon Ball Z: Harukanaru Densetsu,57
Dragon Ball Z: Infinite World,48
Dragon Ball Z: Sagas,49
Dragon Ball Z: Sagas,51
Dragon Ball Z: Sagas,48
Dragon Ball Z: Shin Budokai,70
Dragon Ball Z: Supersonic Warriors,73
Dragon Ball Z: Supersonic Warriors 2,66
Dragon Ball Z: Taiketsu,40
Dragon Ball Z: Tenkaichi Tag Team,63
Dragon Ball Z: The Legacy of Goku,53
Dragon Ball Z: The Legacy of Goku II,75
Dragon Ball Z: Ultimate Tenkaichi,58
Dragon Ball Z: Ultimate Tenkaichi,55
Dragon Ball Z for Kinect,49
Dragon Blade: Wrath of Fire,51
Dragon Booster,33
Dragoneer's Aria,56
Dragon Quest Heroes: Rocket Slime,83
Dragon Quest IV: Chapters of the Chosen,80
Dragon Quest IX: Sentinels of the Starry Skies,87
Dragon Quest Monsters: Joker,75
Dragon Quest Monsters: Joker 2,77
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,65
Dragon Quest V: Hand of the Heavenly Bride,84
Dragon Quest VI: Realms of Revelation,78
Dragon Quest VIII: Journey of the Cursed King,89
Dragon Rage,50
Dragon Valor,57
Drakan: The Ancients' Gates,78
Drakengard,63
Drakengard 2,58
Drakengard 3,61
Drawn to Life,73
Drawn To Life: SpongeBob SquarePants Edition,68
Drawn to Life: The Next Chapter,58
Drawn to Life: The Next Chapter,72
Dreamcast Collection,53
Dreamfall: The Longest Journey,73
Dream Pinball 3D,54
Driv3r,57
Driv3r,56
DriveClub,71
DriveClub VR,67
Driven,38
Driver,87
Driver: Parallel Lines,69
Driver: Parallel Lines,69
Driver: Parallel Lines,59
Driver: Renegade,48
Driver: San Francisco,79
Driver: San Francisco,80
Driver: San Francisco,80
Driver: San Francisco,64
Driver '76,57
Driver 2,62
Driver 2 Advance,73
Drome Racers,54
Drone Tactics,74
Dropship: United Peace Force,78
DuckTales: Remastered,76
DuckTales: Remastered,75
DuckTales: Remastered,66
Duel Masters,66
Duel Masters: Sempai Legends,69
Duke Nukem: Land of the Babes,37
Duke Nukem 3D: 20th Anniversary World Tour,77
Duke Nukem Forever,49
Duke Nukem Forever,51
Duke Nukem Forever,54
Dungeon Defenders,81
Dungeon Explorer: Warriors of Ancient Arts,56
Dungeon Hunter Alliance,49
Dungeon Maker: Hunting Ground,70
Dungeons,65
Dungeons 2,61
Dungeon Siege: Throne of Agony,74
Dungeon Siege II,80
Dungeon Siege III,71
Dungeon Siege III,72
Dungeon Siege III,72
Dungeons - The Dark Lord,72
Dying Light,74
Dying Light,74
Dying Light,75
Dynasty Tactics,79
Dynasty Tactics 2,78
Dynasty Warriors,62
Dynasty Warriors: Gundam 2,54
Dynasty Warriors: Gundam 2,52
Dynasty Warriors: Gundam 2,49
Dynasty Warriors: Gundam 3,58
Dynasty Warriors: Gundam 3,65
Dynasty Warriors: Gundam Reborn,64
Dynasty Warriors: Strikeforce,65
Dynasty Warriors: Strikeforce,64
Dynasty Warriors: Strikeforce,59
Dynasty Warriors 2,75
Dynasty Warriors 3,78
Dynasty Warriors 3,70
Dynasty Warriors 3: Xtreme Legends,72
Dynasty Warriors 4,78
Dynasty Warriors 4,75
Dynasty Warriors 4: Xtreme Legends,72
Dynasty Warriors 4 Empires,71
Dynasty Warriors 5,69
Dynasty Warriors 5,66
Dynasty Warriors 5: Xtreme Legends,57
Dynasty Warriors 5 Empires,62
Dynasty Warriors 5 Empires,61
Dynasty Warriors 6,59
Dynasty Warriors 6,60
Dynasty Warriors 6,43
Dynasty Warriors 6 Empires,62
Dynasty Warriors 6 Empires,59
Dynasty Warriors 7,57
Dynasty Warriors 7,58
Dynasty Warriors 7: Empires,63
Dynasty Warriors 7: Xtreme Legends,64
Dynasty Warriors 8,68
Dynasty Warriors 8,65
Dynasty Warriors 8: Empires,63
Dynasty Warriors 8: Empires,58
Dynasty Warriors 8: Empires,70
Dynasty Warriors 8: Xtreme Legends,68
Dynasty Warriors Gundam,60
Dynasty Warriors Gundam,55
Dynasty Warriors Next,67
Dynasty Warriors Vol. 2,57
E.T. The Extra-Terrestrial,46
E·O·E: Eve of Extinction,57
Eagle Flight,72
EA Playground,66
EA Playground,60
Earth Defense Force: Insect Armageddon,63
Earth Defense Force: Insect Armageddon,68
Earth Defense Force 2: Invaders from Planet Space,72
Earth Defense Force 2017,69
Earth Defense Force 2017 Portable,68
Earth Defense Force 2025,69
Earth Defense Force 2025,68
Earth Defense Force 4.1: The Shadow of New Despair,64
Earthworm Jim,72
Earthworm Jim 2,45
EA Sports Active,81
EA Sports Active 2,79
EA Sports Active 2,78
EA Sports Active 2,68
EA Sports MMA,77
EA Sports MMA,79
EA Sports UFC,70
EA Sports UFC,70
EA Sports UFC 2,79
EA Sports UFC 2,76
East India Company,67
Eat Lead: The Return of Matt Hazard,51
Eat Lead: The Return of Matt Hazard,53
Ecco the Dolphin: Defender of the Future,71
echochrome,79
Echo Night Beyond,60
ECW Anarchy Rulz,43
"Ed,0.41
"Ed,0.25
"Ed,0.02
Egg Mania: Eggstreme Madness,64
Elebits,75
Elebits: The Adventures of Kai and Zero,75
Electroplankton,71
Elite Beat Agents,87
El Shaddai: Ascension of the Metatron,78
El Shaddai: Ascension of the Metatron,75
Elven Legacy,71
Emergency 2012,61
Emergency Heroes,41
Emergency Mayhem,40
Empire: Total War,90
Empire Earth,81
Empire Earth II,79
Empire Earth III,50
Enchanted Arms,69
Enchanted Arms,64
Enclave,66
Endgame,57
Endless Ocean,72
Endless Ocean: Blue World,76
Enemy Front,43
Enemy Front,35
Enemy Territory: Quake Wars,84
Enemy Territory: Quake Wars,69
Enemy Territory: Quake Wars,60
Enslaved: Odyssey to the West,80
Enslaved: Odyssey to the West,82
Enter the Matrix,62
Enter the Matrix,65
Enter the Matrix,63
Enthusia Professional Racing,70
Ephemeral Fantasia,48
Epic Mickey,73
Epic Mickey 2: The Power of Two,59
Epic Mickey 2: The Power of Two,59
Epic Mickey 2: The Power of Two,57
Eragon,63
Eragon,48
Escape Dead Island,40
Escape Dead Island,32
Escape from Bug Island,37
Escape From Monkey Island,84
ESPN: Sports Connection,31
ESPN College Hoops,83
ESPN College Hoops 2K5,86
ESPN College Hoops 2K5,86
ESPN NBA 2K5,83
ESPN NBA 2K5,85
ESPN NBA Basketball,89
ESPN NBA Basketball,87
ESPN NFL 2K5,90
ESPN NFL 2K5,92
ESPN NFL Football,91
ESPN NFL Football,91
ESPN NHL 2K5,86
ESPN NHL 2K5,88
ESPN NHL Hockey,90
ESPN NHL Hockey,88
ESPN Winter X Games: Snowboarding 2002,64
ESPN X Games Skateboarding,58
Eternal Darkness: Sanity's Requiem,92
Eternal Poison,65
Eternal Ring,62
Eternal Sonata,79
Eternal Sonata,80
Etrian Mystery Dungeon,77
Etrian Odyssey,75
Etrian Odyssey II: Heroes of Lagaard,82
Etrian Odyssey III: The Drowned City,77
Etrian Odyssey Untold: The Millennium Girl,80
Eureka Seven Vol. 2: The New Vision,40
Euro Truck Simulator 2,79
EVE: Valkyrie,73
EVE Online,69
EverBlue 2,59
EverGrace,59
EverQuest Online Adventures,74
EverQuest Online Adventures: Frontiers,77
Everybody Dance,66
Every Extend Extra,74
Evil Dead: Hail to the King,51
Evil Dead: Regeneration,68
Evil Genius,75
Evolution Skateboarding,44
Evolution Worlds,63
Evolve,76
Evolve,74
Evolve,77
ExciteBots: Trick Racing,77
Excite Truck,72
ExerBeat,60
Exist Archive: The Other Side of the Sky,71
Exist Archive: The Other Side of the Sky,69
Exit,77
Exit DS,64
Extermination,67
EyePet,70
EyeToy: AntiGrav,71
EyeToy: Groove,73
EyeToy: Kinetic,78
EyeToy Play,80
EyeToy Play 2,78
F.E.A.R.,85
F.E.A.R.,72
F.E.A.R. 2: Project Origin,77
F.E.A.R. 2: Project Origin,79
F.E.A.R. 2: Project Origin,79
F.E.A.R. 3,74
F.E.A.R. 3,75
F.E.A.R. 3,74
F.E.A.R. Files,66
F.E.A.R. Perseus Mandate,61
F1 2001,83
F1 2001,83
F1 2002,81
F1 2002,72
F1 2009,69
F1 2009,68
F1 2010,84
F1 2010,84
F1 2010,84
F1 2011,82
F1 2011,84
F1 2011,83
F1 2011,59
F1 2011,66
F1 2012,81
F1 2012,84
F1 2012,80
F1 2013,77
F1 2013,79
F1 2014,62
F1 2014,64
F1 2014,61
F1 2015,65
F1 2015,64
F1 2015,61
F1 Career Challenge,70
F1 Race Stars,61
F1 Race Stars,64
F1 Race Stars,62
Fable,85
Fable: The Journey,61
Fable: The Lost Chapters,83
Fable II,89
Fable III,80
Fable III,75
FaceBreaker,54
FaceBreaker,53
FaceBreaker K.O. Party,61
Fairy Fencer F,65
Fairy Fencer F: Advent Dark Force,71
Fairytale Fights,51
Fairytale Fights,53
Falcon 4.0: Allied Force,90
Fallout: Brotherhood of Steel,64
Fallout: Brotherhood of Steel,66
Fallout: New Vegas,84
Fallout: New Vegas,82
Fallout: New Vegas,84
Fallout 3,93
Fallout 3,90
Fallout 3,91
Fallout 4,87
Fallout 4,88
Fallout 4,84
Family Feud: 2012 Edition,47
Family Guy,51
Family Guy: Back to the Multiverse,40
Family Guy: Back to the Multiverse,39
Family Party: 30 Great Games,42
Fantasia: Music Evolved,77
Fantastic 4,64
Fantastic 4,62
Fantastic 4,61
Fantastic Four: Rise of the Silver Surfer,36
Fantastic Four: Rise of the Silver Surfer,47
Fantastic Four: Rise of the Silver Surfer,45
Fantastic Four: Rise of the Silver Surfer,39
Fantastic Four: Rise of the Silver Surfer,35
Fantastic Pets,66
Fantasy Life,73
Fantavision,72
Far Cry,89
Far Cry: Primal,76
Far Cry: Primal,77
Far Cry: Primal,74
Far Cry 2,85
Far Cry 2,85
Far Cry 2,85
Far Cry 3,90
Far Cry 3,91
Far Cry 3,88
Far Cry 4,85
Far Cry 4,82
Far Cry 4,80
Far Cry Instincts,85
Far Cry Instincts Evolution,78
Far Cry Instincts Predator,78
Far Cry Vengeance,38
Farming Simulator 17,64
Farming Simulator 17,69
Farming Simulator 2013,65
Farming Simulator 2013,33
Farming Simulator 2013,40
Fast Racing Neo,81
Fatal Frame,74
Fatal Frame,77
Fatal Frame: Maiden of Black Water,67
Fatal Frame II: Crimson Butterfly,81
Fatal Frame II: Crimson Butterfly Director's Cut,84
Fatal Frame III: The Tormented,78
Fatal Fury: Battle Archives Volume 1,68
Fatal Inertia,61
Fate/Extra,58
Fat Princess: Fistful of Cake,74
Fear Effect 2: Retro Helix,84
Fear Factor: Unleashed,30
Feel the Magic XY/XX,75
Ferrari Challenge Trofeo Pirelli,71
Ferrari F355 Challenge,70
Field Commander,77
FIFA 06: Road to FIFA World Cup,62
FIFA 14,86
FIFA 14,84
FIFA 14,87
FIFA 14,88
FIFA 14,87
FIFA 15,82
FIFA 15,82
FIFA 15,82
FIFA 16,82
FIFA 16,84
FIFA 16,81
FIFA 17,85
FIFA 17,84
FIFA 17,84
FIFA 2001 Major League Soccer,85
FIFA Manager 12,72
FIFA Soccer,73
FIFA Soccer,79
FIFA Soccer 06,80
FIFA Soccer 06,80
FIFA Soccer 06,77
FIFA Soccer 08,83
FIFA Soccer 08,81
FIFA Soccer 08,79
FIFA Soccer 08,82
FIFA Soccer 08,65
FIFA Soccer 08,77
FIFA Soccer 09,87
FIFA Soccer 09,82
FIFA Soccer 09,87
FIFA Soccer 09,84
FIFA Soccer 09,84
FIFA Soccer 09,77
FIFA Soccer 09 All-Play,80
FIFA Soccer 10,91
FIFA Soccer 10,90
FIFA Soccer 10,83
FIFA Soccer 10,75
FIFA Soccer 10,72
FIFA Soccer 11,89
FIFA Soccer 11,88
FIFA Soccer 11,68
FIFA Soccer 11,73
FIFA Soccer 11,83
FIFA Soccer 13,88
FIFA Soccer 13,90
FIFA Soccer 13,69
FIFA Soccer 13,57
FIFA Soccer 13,86
FIFA Soccer 13,68
FIFA Soccer 2002,82
FIFA Soccer 2002,81
FIFA Soccer 2002,81
FIFA Soccer 2003,88
FIFA Soccer 2003,88
FIFA Soccer 2003,86
FIFA Soccer 2004,82
FIFA Soccer 2004,83
FIFA Soccer 2004,82
FIFA Soccer 2005,81
FIFA Soccer 2005,81
FIFA Soccer 2005,78
FIFA Soccer 2005,75
FIFA Street,59
FIFA Street,60
FIFA Street,76
FIFA Street,77
FIFA Street 2,59
FIFA Street 2,58
FIFA Street 2,63
FIFA Street 2,63
FIFA Street 2,43
FIFA Street 3,63
FIFA Street 3,63
FIFA World Cup Germany 2006,77
FIFA World Cup Germany 2006,72
FIFA World Cup Germany 2006,77
FIFA World Cup Germany 2006,76
FIFA World Cup Germany 2006,72
FIFA World Cup Germany 2006,71
FIFA World Cup Germany 2006,57
Fight Club,36
Fight Club,37
Fighter Maker 2,58
Fighters Uncaged,32
Fighter Within,23
Fighting Fantasy: The Warlock of Firetop Mountain,45
Fight Night 2004,85
Fight Night 2004,85
Fight Night Champion,84
Fight Night Champion,86
Fight Night Round 2,88
Fight Night Round 2,88
Fight Night Round 2,87
Fight Night Round 3,83
Fight Night Round 3,84
Fight Night Round 3,86
Fight Night Round 3,74
Fight Night Round 3,83
Fight Night Round 4,88
Fight Night Round 4,87
Final Fantasy: Crystal Chronicles,80
Final Fantasy: The 4 Heroes of Light,71
Final Fantasy Anniversary Edition,67
Final Fantasy Anthology,80
Final Fantasy Chronicles,89
Final Fantasy Crystal Chronicles: Echoes of Time,75
Final Fantasy Crystal Chronicles: Echoes of Time,64
Final Fantasy Crystal Chronicles: Ring of Fates,77
Final Fantasy Crystal Chronicles: The Crystal Bearers,66
Final Fantasy Explorers,69
Final Fantasy Fables: Chocobo's Dungeon,76
Final Fantasy Fables: Chocobo Tales,75
Final Fantasy II Anniversary Edition,63
Final Fantasy III,77
Final Fantasy IV,85
Final Fantasy IV: The Complete Collection,77
Final Fantasy IV Advance,85
Final Fantasy IX,94
Final Fantasy Tactics,83
Final Fantasy Tactics: The War of the Lions,88
Final Fantasy Tactics A2: Grimoire of the Rift,80
Final Fantasy Tactics Advance,87
Final Fantasy V Advance,83
Final Fantasy VI Advance,92
Final Fantasy VII,92
Final Fantasy VIII,90
Final Fantasy X,92
Final Fantasy X / X-2 HD Remaster,85
Final Fantasy X / X-2 HD Remaster,86
Final Fantasy X-2,85
Final Fantasy XI,66
Final Fantasy XI: Chains of Promathia,77
Final Fantasy XI: Treasures of Aht Urhgan,87
Final Fantasy XI: Wings of the Goddess,63
Final Fantasy XII,92
Final Fantasy XII: Revenant Wings,81
Final Fantasy XIII,83
Final Fantasy XIII,82
Final Fantasy XIII-2,79
Final Fantasy XIII-2,79
Final Fantasy XIV: Heavensward,86
Final Fantasy XIV: Heavensward,86
Final Fight: Streetwise,43
Final Fight: Streetwise,42
Final Fight One,82
Finding Nemo,62
Fire Emblem,88
Fire Emblem: Awakening,92
Fire Emblem: Path of Radiance,85
Fire Emblem: Radiant Dawn,78
Fire Emblem: Shadow Dragon,81
Fire Emblem: The Sacred Stones,85
Fire Pro Wrestling Returns,78
Fisherman's Challenge,67
Fishing Master,58
Fishing Resort,69
Fish Tycoon,46
Fist of the North Star: Ken's Rage,60
Fist of the North Star: Ken's Rage,59
Fist of the North Star: Ken's Rage 2,49
Fist of the North Star: Ken's Rage 2,55
Fist of the North Star: Ken's Rage 2,40
Flash Focus: Vision Training in Minutes a Day,59
FlatOut,70
FlatOut,71
FlatOut: Head On,74
FlatOut: Ultimate Carnage,80
FlatOut: Ultimate Carnage,79
FlatOut 2,73
FlatOut 2,73
FlingSmash,48
Flipnic: Ultimate Pinball,64
