Name,Critic_Score
Army Men: Green Rogue,39
Army Men: Major Malfunction,36
Army Men: Sarge's Heroes 2,48
Army Men: Sarge's Heroes 2,54
Army Men: Sarge's War,56
Army of Two,72
Army of Two,74
Army of Two: The 40th Day,73
Army of Two: The 40th Day,74
Army of Two: The 40th Day,49
Army of Two: The Devil's Cartel,58
Army of Two: The Devil's Cartel,54
Ar Nosurge: Ode to an Unborn Star,67
Arslan: The Warriors of Legend,69
Art Academy,75
Art Academy: Home Studio,82
Art Academy: Lessons for Everyone,81
Art of Fighting Anthology,60
Ar tonelico: Melody of Elemia,71
Ar tonelico Qoga: Knell of Ar Ciel,61
Arx Fatalis,71
Asphalt: Injection,49
Asphalt: Urban GT,60
Asphalt 3D,43
Assassin's Creed,81
Assassin's Creed,81
Assassin's Creed: Altair's Chronicles,58
Assassin's Creed: Bloodlines,63
Assassin's Creed: Brotherhood,89
Assassin's Creed: Brotherhood,90
Assassin's Creed: Brotherhood,88
Assassin's Creed: Revelations,80
Assassin's Creed: Revelations,80
Assassin's Creed: Revelations,80
Assassin's Creed: Rogue,72
Assassin's Creed: Rogue,72
Assassin's Creed: Rogue,74
Assassin's Creed: Unity,70
Assassin's Creed: Unity,72
Assassin's Creed: Unity,70
Assassin's Creed Chronicles,70
Assassin's Creed Chronicles: China,69
Assassin's Creed II,91
Assassin's Creed II,90
Assassin's Creed II,86
Assassin's Creed II: Discovery,69
Assassin's Creed III,85
Assassin's Creed III,84
Assassin's Creed III,80
Assassin's Creed III,85
Assassin's Creed III: Liberation,70
Assassin's Creed IV: Black Flag,88
Assassin's Creed IV: Black Flag,86
Assassin's Creed IV: Black Flag,83
Assassin's Creed IV: Black Flag,84
Assassin's Creed IV: Black Flag,86
Assassin's Creed Syndicate,76
Assassin's Creed Syndicate,78
Assassin's Creed Syndicate,74
Assassin's Creed The Ezio Collection,72
Assassin's Creed The Ezio Collection,74
Assetto Corsa,73
Assetto Corsa,63
Astonishia Story,48
Astro Boy,54
Astro Boy: Omega Factor,85
Astro Boy: The Video Game,56
Astro Boy: The Video Game,48
Asura's Wrath,71
Asura's Wrath,71
Atari Anthology,66
Atari Classics Evolved,64
Atelier Annie: Alchemists of Sera Island,70
Atelier Ayesha: The Alchemist of Dusk,70
Atelier Iris: Eternal Mana,74
Atelier Iris 2: The Azoth Of Destiny,68
Atelier Shallie: Alchemists of the Dusk Sea,76
Atelier Sophie: The Alchemist of the Mysterious Book,75
Atelier Totori: The Adventurer of Arland,74
Athens 2004,61
Atomic Betty,62
Attack of the Movies 3D,38
Attack on Titan: Humanity in Chains,46
ATV Offroad Fury,82
ATV Offroad Fury: Blazin' Trails,63
ATV Offroad Fury 2,82
ATV Offroad Fury 3,78
ATV Quad Power Racing 2,70
Auto Modellista,66
Avalon Code,71
A Vampyre Story,75
Avatar: The Last Airbender,60
Avatar: The Last Airbender,64
Avatar: The Last Airbender,56
Avatar: The Last Airbender,57
A Witch's Tale,50
Azure Striker Gunvolt,77
Azurik: Rise of Perathia,52
Back to the Future: The Game,66
Back to the Future: The Game,66
Backyard Baseball,70
Backyard Baseball '09,37
Backyard Wrestling: Don't Try This at Home,51
Backyard Wrestling: Don't Try This at Home,50
Backyard Wrestling 2: There Goes the Neighborhood,46
Bad Boys: Miami Takedown,43
Bad Boys: Miami Takedown,35
Bad Boys: Miami Takedown,35
Baja: Edge of Control,61
Baja: Edge of Control,65
Bakugan: Battle Brawlers,60
Bakugan: Battle Brawlers,62
Bakugan: Battle Brawlers,60
Bakugan: Battle Brawlers,63
Baldur's Gate: Dark Alliance,87
Baldur's Gate: Dark Alliance,83
Baldur's Gate: Dark Alliance,79
Baldur's Gate: Dark Alliance,0.03
Baldur's Gate: Dark Alliance II,78
Baldur's Gate: Dark Alliance II,77
Ball Breakers,68
Balls of Fury,19
Band Hero,79
Band Hero,76
Band Hero,76
Band Hero,65
Bangai-O Spirits,83
Banjo-Kazooie,77
Banjo-Kazooie: Grunty's Revenge,72
Banjo-Pilot,68
Barbie Groovy Games,47
Barnyard,62
Barnyard,65
Baroque,60
Baroque,50
Baseball Advance,80
Bass Pro Shops: The Strike,63
Bass Strike,57
Baten Kaitos: Eternal Wings and the Lost Ocean,80
Baten Kaitos Origins,75
Batman: Arkham Asylum,91
Batman: Arkham Asylum,92
Batman: Arkham Asylum,91
Batman: Arkham City,96
Batman: Arkham City,94
Batman: Arkham City,91
Batman: Arkham Knight,87
Batman: Arkham Knight,85
Batman: Arkham Knight,70
Batman: Arkham Origins,76
Batman: Arkham Origins,74
Batman: Arkham Origins,74
Batman: Arkham Origins,68
Batman: Arkham Origins Blackgate,61
Batman: Arkham Origins Blackgate,68
Batman: Arkham VR,75
Batman: Dark Tomorrow,25
Batman: Dark Tomorrow,29
Batman: Return to Arkham,73
Batman: Return to Arkham,77
Batman: Rise of Sin Tzu,63
Batman: Rise of Sin Tzu,67
Batman: Rise of Sin Tzu,63
Batman: The Brave and the Bold the Videogame,74
Batman: Vengeance,68
Batman: Vengeance,70
Batman Begins,64
Batman Begins,65
Batman Begins,61
Batman Begins,66
Battalion Wars,76
Battalion Wars 2,75
Battle Arena Toshinden,69
Battle Assault 3 featuring Gundam Seed,48
Battleborn,68
Battleborn,71
Battleborn,69
Battle Engine Aquila,73
Battle Fantasia,71
Battlefield: Bad Company,83
Battlefield: Bad Company,84
Battlefield: Bad Company 2,88
Battlefield: Bad Company 2,88
Battlefield: Bad Company 2,87
Battlefield: Hardline,73
Battlefield: Hardline,71
Battlefield: Hardline,71
Battlefield 1,88
Battlefield 1,87
Battlefield 1,88
Battlefield 1942,89
Battlefield 2,91
Battlefield 2: Modern Combat,80
Battlefield 2: Modern Combat,80
