1.27,75
0.68,76
0.46,70
1.31,78
1.24,79
0.79,74
0.74,79
0.11,76
1.48,65
1.14,65
0.65,54
0.03,70
0.92,61
0.53,51
0.66,70
0.01,63
0.3,79
0.15,52
0.06,51
0.4,61
0.11,52
0.08,38
0.59,73
0.19,79
0.05,78
1.23,82
0.85,83
0.46,69
0.42,70
0.61,73
0.42,74
0.3,62
0.42,39
0.17,41
0.41,55
0.57,77
0.24,59
0.21,71
0.19,72
1.77,47
0.44,50
0.14,45
0.05,35
0.17,77
0.13,60
0.21,80
0.24,60
0.23,63
0.12,64
0.7,78
0.74,77
0.49,78
0.24,71
0.29,71
3.17,89
0.89,83
1.71,84
1.01,80
0.99,75
0.51,75
0.02,70
1.54,69
0.5,75
0.01,71
0.7,92
0.39,90
0.65,89
0.13,68
0.08,65
0.06,58
0.02,62
0.03,57
0.04,66
0.01,69
0.07,64
0.22,63
0.24,65
0.2,65
0.03,53
0.07,50
0.08,46
0.1,53
0.02,66
0.03,67
0.01,66
0.03,83
0.21,78
0.22,80
0.09,92
0.38,81
0.06,81
0.06,70
0.09,89
0.04,84
0.35,85
0.06,85
0.06,88
0.23,70
0.12,39
0.03,65
0.18,61
0.11,66
0.05,57
1.33,83
0.06,83
0.11,64
0.05,64
0.58,70
0.5,70
0.12,75
0.51,69
1.13,79
0.51,78
0.14,81
0.1,78
0.09,78
0.16,61
0.77,48
0.6,43
0.18,45
0.16,76
0.05,58
0.19,66
0.08,64
1.06,64
1.04,65
0.19,68
0.22,49
0.08,51
0.06,48
0.26,75
0.15,73
0.56,77
0.22,66
0.77,81
0.26,79
0.15,83
0.42,78
0.13,74
0.08,80
0.48,58
0.18,39
0.06,47
0.01,55
0.13,69
0.43,64
0.39,63
0.03,72
0.13,62
0.09,63
0.03,59
0.23,86
0.07,33
0.05,30
0.06,59
0.25,70
0.08,43
0.26,87
0.42,47
0.15,44
0.55,41
0.3,48
0.02,30
0.82,78
0.25,80
0.16,72
0.18,86
0.2,71
0.17,73
0.29,49
0.28,59
0.21,47
0.16,53
0.63,62
0.26,63
0.16,66
0.02,52
3.15,87
0.41,46
4.62,73
3.05,66
9.16,88
12.13,86
0.03,33
0.13,78
1.43,83
0.25,72
0.04,31
